"time","s","e","a","p","sym","sev","r","d"
0.0,4500,500,0,0,0,0,0,0
0.5,4500,500,0,0,0,0,0,0
1.0,4500,381,58,61,0,0,0,0
1.5,4480,401,58,61,0,0,0,0
2.0,4443,354,90,91,13,0,9,0
2.5,4408,385,91,94,13,0,9,0
3.0,4344,355,129,106,33,3,30,0
3.5,4301,385,137,110,34,3,30,0
4.0,4218,370,159,132,53,9,59,0
4.5,4152,418,170,137,54,9,60,0
5.0,4040,440,173,148,79,11,105,4
5.5,3980,474,177,159,84,11,111,4
6.0,3914,463,176,157,111,20,154,5
6.5,3868,470,189,173,113,21,161,5
7.0,3803,436,201,184,131,28,206,11
7.5,3746,439,220,198,144,28,214,11
8.0,3623,484,210,200,158,39,268,18
8.5,3545,524,214,205,171,42,281,18
9.0,3425,561,202,207,188,48,347,22
9.5,3351,580,214,216,198,52,365,24
10.0,3266,575,218,214,198,74,428,27
10.5,3212,558,236,234,199,81,452,28
11.0,3115,554,255,247,199,89,500,41
11.5,3029,595,252,246,206,96,533,43
12.0,2940,585,256,249,206,98,604,62
12.5,2894,547,273,267,218,99,634,68
13.0,2823,522,268,281,217,101,706,82
13.5,2782,506,279,276,229,104,734,90
14.0,2734,458,277,284,237,108,800,102
14.5,2659,477,277,282,245,115,838,107
15.0,2570,496,271,263,243,127,905,125
15.5,2522,477,262,285,239,139,949,127
16.0,2443,477,256,284,238,154,1005,143
16.5,2405,455,253,282,253,158,1042,152
17.0,2340,439,259,278,266,150,1096,172
17.5,2298,424,256,279,268,155,1141,179
18.0,2234,406,238,274,273,154,1218,203
18.5,2194,396,237,257,279,155,1264,218
19.0,2141,381,234,234,264,168,1342,236
19.5,2114,368,230,221,263,173,1384,247
20.0,2074,335,227,210,259,177,1454,264
20.5,2043,313,235,206,258,174,1498,273
21.0,2008,280,229,202,250,175,1561,295
21.5,1974,277,203,211,238,176,1610,311
22.0,1933,262,198,200,232,187,1657,331
22.5,1901,260,193,193,232,187,1691,343
23.0,1855,264,181,176,230,172,1750,372
23.5,1828,258,181,166,215,175,1788,389
24.0,1789,258,168,164,199,166,1843,413
24.5,1760,254,171,152,203,170,1866,424
25.0,1728,248,168,147,194,158,1911,446
25.5,1713,224,165,148,186,157,1946,461
26.0,1676,216,165,149,164,160,1994,476
26.5,1651,219,157,141,166,157,2020,489
27.0,1633,198,155,130,159,153,2063,509
27.5,1620,183,155,119,160,158,2089,516
28.0,1600,176,149,109,157,152,2123,534
28.5,1591,167,140,108,149,142,2156,547
29.0,1574,150,128,114,134,132,2199,569
29.5,1558,146,119,104,128,132,2230,583
30.0,1538,141,113,95,133,124,2257,599
30.5,1528,140,105,93,130,111,2282,611
31.0,1508,129,101,86,137,102,2308,629
31.5,1490,129,95,90,127,99,2336,634
32.0,1482,113,91,92,119,100,2359,644
32.5,1470,116,80,89,113,96,2378,658
33.0,1452,119,69,78,118,89,2403,672
33.5,1448,104,65,79,114,88,2420,682
34.0,1431,99,60,80,105,80,2449,696
34.5,1419,98,63,78,107,76,2458,701
35.0,1405,98,57,67,99,78,2483,713
35.5,1398,90,56,67,96,71,2495,727
36.0,1387,85,56,65,88,67,2511,741
36.5,1380,79,55,65,87,66,2519,749
37.0,1371,74,48,62,77,72,2538,758
37.5,1363,73,44,59,79,71,2551,760
38.0,1353,66,48,57,74,63,2566,773
38.5,1348,66,45,49,73,61,2579,779
39.0,1339,62,46,46,67,63,2591,786
39.5,1333,61,50,38,67,59,2598,794
40.0,1324,63,45,34,64,51,2614,805
40.5,1319,61,45,29,64,50,2623,809
41.0,1309,58,48,30,60,43,2631,821
41.5,1308,51,52,31,56,42,2635,825
42.0,1300,52,47,26,56,41,2647,831
42.5,1295,54,43,26,46,46,2657,833
43.0,1286,52,40,27,47,40,2668,840
43.5,1284,46,42,26,45,36,2678,843
44.0,1275,44,42,28,45,32,2687,847
44.5,1270,43,45,27,40,34,2692,849
45.0,1265,45,40,22,39,36,2702,851
45.5,1260,46,35,20,35,36,2714,854
46.0,1256,41,29,23,29,32,2728,862
46.5,1255,40,24,22,22,35,2737,865
47.0,1248,40,22,21,17,39,2745,868
47.5,1245,36,22,23,18,35,2750,871
48.0,1239,36,26,22,17,32,2755,873
48.5,1236,34,27,22,17,24,2760,880
49.0,1233,27,29,22,19,19,2769,882
49.5,1232,26,28,19,21,18,2771,885
50.0,1231,21,25,20,20,16,2778,889
50.5,1228,23,21,20,19,16,2784,889
51.0,1222,23,14,17,25,15,2794,890
51.5,1218,24,14,16,26,14,2796,892
52.0,1217,23,12,14,25,15,2801,893
52.5,1216,22,12,12,25,14,2805,894
53.0,1215,18,12,9,28,12,2810,896
53.5,1215,17,10,9,27,11,2814,897
54.0,1214,12,11,13,22,13,2816,899
54.5,1211,12,11,15,20,12,2819,900
55.0,1210,10,9,14,15,13,2826,903
55.5,1209,8,10,15,16,12,2827,903
56.0,1204,10,9,12,19,11,2830,905
56.5,1203,10,9,11,19,10,2831,907
57.0,1202,11,9,6,21,9,2832,910
57.5,1202,10,8,7,18,10,2835,910
58.0,1200,11,8,7,15,12,2835,912
58.5,1200,10,8,7,15,12,2836,912
59.0,1199,10,8,7,13,12,2837,914
59.5,1199,9,6,4,16,11,2841,914
60.0,1197,9,7,4,15,9,2843,916
60.5,1197,9,6,4,15,8,2845,916
61.0,1196,8,5,4,11,9,2849,918
61.5,1196,8,5,3,10,11,2849,918
62.0,1196,7,5,3,9,8,2850,922
62.5,1196,7,5,3,9,8,2850,922
63.0,1196,5,4,4,9,8,2851,923
63.5,1196,5,4,4,7,9,2852,923
64.0,1196,3,3,6,5,9,2853,925
64.5,1196,2,4,6,5,8,2854,925
65.0,1196,0,5,5,6,8,2855,925
65.5,1196,0,5,5,5,8,2855,926
66.0,1196,0,5,3,5,8,2855,928
66.5,1196,0,4,3,4,7,2857,929
67.0,1196,0,3,2,5,5,2859,930
67.5,1196,0,3,2,5,5,2859,930
68.0,1196,0,3,2,2,7,2859,931
68.5,1196,0,3,2,2,6,2859,932
69.0,1196,0,1,0,3,6,2862,932
69.5,1196,0,1,0,3,6,2862,932
70.0,1196,0,1,0,3,3,2862,935
70.5,1196,0,1,0,3,3,2862,935
71.0,1196,0,1,0,3,1,2863,936
71.5,1196,0,0,0,3,1,2864,936
72.0,1196,0,0,0,3,1,2864,936
72.5,1196,0,0,0,3,1,2864,936
73.0,1196,0,0,0,3,1,2864,936
73.5,1196,0,0,0,3,1,2864,936
74.0,1196,0,0,0,2,1,2864,937
74.5,1196,0,0,0,2,1,2864,937
75.0,1196,0,0,0,1,2,2864,937
75.5,1196,0,0,0,1,2,2864,937
76.0,1196,0,0,0,1,2,2864,937
76.5,1196,0,0,0,1,2,2864,937
77.0,1196,0,0,0,0,3,2864,937
77.5,1196,0,0,0,0,3,2864,937
78.0,1196,0,0,0,0,1,2864,939
78.5,1196,0,0,0,0,1,2864,939
79.0,1196,0,0,0,0,1,2864,939
79.5,1196,0,0,0,0,1,2864,939
80.0,1196,0,0,0,0,0,2864,940
