"time","s","e","a","p","sym","sev","r","d"
0.0,4500,500,0,0,0,0,0,0
0.5,4500,500,0,0,0,0,0,0
1.0,4500,366,84,50,0,0,0,0
1.5,4470,396,84,50,0,0,0,0
2.0,4421,375,98,81,6,0,19,0
2.5,4396,389,105,85,6,0,19,0
3.0,4330,367,128,103,30,2,40,0
3.5,4275,410,134,106,31,2,42,0
4.0,4202,402,141,123,50,3,77,2
4.5,4171,412,150,131,51,3,80,2
5.0,4087,397,153,158,68,12,122,3
5.5,4041,418,160,167,70,13,128,3
6.0,3962,401,174,194,94,16,154,5
6.5,3921,414,183,204,98,16,159,5
7.0,3853,394,182,200,117,30,216,8
7.5,3785,435,183,205,125,31,228,8
8.0,3682,437,191,214,134,49,282,11
8.5,3612,466,194,227,138,50,302,11
9.0,3512,495,181,209,161,59,369,14
9.5,3446,501,194,232,167,64,382,14
10.0,3348,519,197,223,186,73,432,22
10.5,3297,521,204,229,203,71,451,24
11.0,3193,542,204,233,195,84,512,37
11.5,3116,570,204,246,202,90,534,38
12.0,3022,562,221,254,195,102,589,55
12.5,2979,535,232,270,205,104,615,60
13.0,2918,515,242,266,201,108,671,79
13.5,2882,485,256,269,217,114,697,80
14.0,2812,461,251,265,229,112,770,100
14.5,2748,481,257,255,238,119,798,104
15.0,2664,483,248,246,244,127,871,117
15.5,2609,479,256,248,246,132,906,124
16.0,2547,474,251,243,242,127,964,152
16.5,2502,463,240,242,244,136,1010,163
17.0,2448,433,239,247,241,141,1073,178
17.5,2413,413,246,237,252,148,1107,184
18.0,2344,413,237,230,247,160,1171,198
18.5,2307,405,230,228,241,167,1210,212
19.0,2252,381,227,229,239,163,1276,233
19.5,2222,360,228,228,234,172,1313,243
20.0,2186,332,223,214,233,174,1372,266
20.5,2147,339,218,207,227,178,1405,279
21.0,2110,313,213,198,216,182,1468,300
21.5,2077,303,205,197,217,177,1512,312
22.0,2030,307,194,190,211,177,1557,334
22.5,2004,290,189,191,211,170,1593,352
23.0,1952,293,171,182,211,167,1643,381
23.5,1926,285,166,175,208,163,1685,392
24.0,1895,259,163,170,204,144,1746,419
24.5,1873,259,149,153,212,148,1778,428
25.0,1838,241,152,154,208,141,1815,451
25.5,1810,235,156,151,198,141,1847,462
26.0,1772,223,148,158,179,142,1892,486
26.5,1755,210,146,158,161,152,1919,499
27.0,1727,203,137,149,162,150,1956,516
27.5,1708,195,135,151,151,151,1980,529
28.0,1677,193,121,140,152,143,2030,544
28.5,1670,177,113,131,159,136,2060,554
29.0,1648,171,99,115,159,140,2101,567
29.5,1639,159,94,112,160,129,2126,581
30.0,1615,148,91,108,153,129,2160,596
30.5,1603,147,85,102,144,127,2187,605
31.0,1581,140,83,102,132,123,2213,626
31.5,1563,141,81,98,126,125,2231,635
32.0,1546,130,83,94,123,118,2253,653
32.5,1534,128,80,87,124,110,2271,666
33.0,1516,123,74,80,114,116,2296,681
33.5,1505,118,72,76,111,113,2313,692
34.0,1485,122,66,70,99,97,2343,718
34.5,1473,125,65,65,95,97,2357,723
35.0,1465,112,66,66,80,92,2379,740
35.5,1460,96,70,69,73,94,2391,747
36.0,1441,100,69,67,71,90,2403,759
36.5,1432,100,66,65,67,86,2415,769
37.0,1421,94,61,70,61,76,2435,782
37.5,1413,94,58,68,62,72,2446,787
38.0,1403,87,57,57,67,70,2463,796
38.5,1398,83,48,61,62,64,2482,802
39.0,1392,68,50,57,73,59,2490,811
39.5,1384,66,51,52,76,55,2499,817
40.0,1379,62,47,44,62,54,2524,828
40.5,1376,53,47,45,64,53,2530,832
41.0,1369,49,46,45,58,50,2544,839
41.5,1361,50,44,40,54,54,2556,841
42.0,1356,41,47,38,48,54,2568,848
42.5,1353,42,42,36,43,50,2576,858
43.0,1342,47,36,32,41,46,2592,864
43.5,1341,42,36,31,36,42,2600,872
44.0,1332,45,32,31,36,39,2609,876
44.5,1329,45,30,29,35,36,2614,882
45.0,1326,40,26,24,41,31,2625,887
45.5,1322,40,24,21,44,28,2631,890
46.0,1318,32,25,25,41,28,2638,893
46.5,1312,31,26,28,38,26,2642,897
47.0,1307,30,23,22,37,31,2651,899
47.5,1303,32,23,19,33,36,2654,900
48.0,1299,33,19,17,28,31,2665,908
48.5,1296,30,19,19,30,29,2667,910
49.0,1294,25,23,17,31,29,2669,912
49.5,1291,23,26,15,34,26,2670,915
50.0,1289,21,24,12,32,26,2679,917
50.5,1288,19,20,12,31,25,2686,919
51.0,1286,17,18,15,25,25,2692,922
51.5,1285,15,18,16,21,27,2695,923
52.0,1280,19,15,14,19,24,2703,926
52.5,1279,16,15,17,16,20,2706,931
53.0,1278,12,13,18,13,21,2713,932
53.5,1275,13,14,16,13,22,2715,932
54.0,1271,16,11,17,12,20,2718,935
54.5,1268,18,9,13,15,18,2721,938
55.0,1268,13,9,12,16,15,2727,940
55.5,1268,11,8,9,18,15,2730,941
56.0,1268,9,6,8,19,9,2735,946
56.5,1267,10,5,8,16,9,2738,947
57.0,1265,11,6,5,15,10,2739,949
57.5,1265,11,5,4,14,11,2740,950
58.0,1263,11,3,6,12,11,2743,951
58.5,1263,9,5,5,13,8,2743,954
59.0,1261,10,6,5,9,8,2746,955
59.5,1261,9,5,5,7,9,2748,956
60.0,1261,6,6,5,8,10,2748,956
60.5,1261,6,6,5,6,9,2750,957
61.0,1260,6,6,3,8,8,2751,958
61.5,1260,4,7,3,6,8,2752,960
62.0,1258,3,8,5,4,8,2754,960
62.5,1257,4,8,5,4,8,2754,960
63.0,1257,4,6,3,5,7,2758,960
63.5,1257,4,5,3,5,6,2759,961
64.0,1256,5,4,2,5,6,2760,962
64.5,1256,4,3,2,4,7,2762,962
65.0,1256,4,3,1,3,7,2763,963
65.5,1256,4,2,1,3,7,2764,963
66.0,1255,5,1,0,2,7,2767,963
66.5,1255,5,1,0,2,5,2767,965
67.0,1255,4,2,0,1,3,2768,967
67.5,1255,3,2,0,1,3,2769,967
68.0,1255,2,3,0,1,3,2769,967
68.5,1255,2,3,0,1,2,2769,968
69.0,1255,2,3,0,1,1,2769,969
69.5,1255,2,3,0,1,1,2769,969
70.0,1255,0,4,0,1,0,2771,969
70.5,1254,1,3,0,1,0,2772,969
71.0,1253,2,2,0,0,0,2774,969
71.5,1253,1,3,0,0,0,2774,969
72.0,1253,0,3,1,0,0,2774,969
72.5,1253,0,2,1,0,0,2775,969
73.0,1253,0,2,1,0,0,2775,969
73.5,1253,0,2,1,0,0,2775,969
74.0,1253,0,0,1,0,0,2777,969
74.5,1253,0,0,1,0,0,2777,969
75.0,1253,0,0,1,0,0,2777,969
75.5,1253,0,0,1,0,0,2777,969
76.0,1253,0,0,1,0,0,2777,969
76.5,1253,0,0,1,0,0,2777,969
77.0,1253,0,0,0,1,0,2777,969
77.5,1253,0,0,0,1,0,2777,969
78.0,1253,0,0,0,1,0,2777,969
78.5,1253,0,0,0,1,0,2777,969
79.0,1252,1,0,0,1,0,2777,969
79.5,1252,1,0,0,1,0,2777,969
80.0,1252,1,0,0,1,0,2777,969
80.5,1252,1,0,0,1,0,2777,969
81.0,1252,1,0,0,1,0,2777,969
81.5,1252,1,0,0,1,0,2777,969
82.0,1252,1,0,0,0,0,2778,969
82.5,1252,1,0,0,0,0,2778,969
83.0,1252,0,0,1,0,0,2778,969
83.5,1252,0,0,1,0,0,2778,969
84.0,1252,0,0,0,1,0,2778,969
84.5,1252,0,0,0,1,0,2778,969
85.0,1252,0,0,0,1,0,2778,969
85.5,1252,0,0,0,1,0,2778,969
86.0,1252,0,0,0,1,0,2778,969
86.5,1252,0,0,0,1,0,2778,969
87.0,1252,0,0,0,0,0,2779,969
