"time","s","e","a","p","sym","sev","r","d"
67.5,1549,1,2,2,2,8,13736,4700
68.0,1548,1,2,3,2,5,13737,4702
68.5,1548,0,2,3,1,3,13739,4704
69.0,1548,0,1,3,1,3,13740,4704
69.5,1548,0,1,1,3,3,13740,4704
70.0,1548,0,1,1,2,3,13740,4705
70.5,1548,0,1,1,2,2,13740,4706
71.0,1548,0,1,1,2,1,13740,4707
71.5,1548,0,0,1,2,1,13741,4707
72.0,1548,0,0,1,2,0,13741,4708
72.5,1548,0,0,1,2,0,13741,4708
73.0,1548,0,0,0,3,0,13741,4708
73.5,1548,0,0,0,3,0,13741,4708
74.0,1548,0,0,0,3,0,13741,4708
74.5,1548,0,0,0,2,1,13741,4708
75.0,1548,0,0,0,1,1,13742,4708
75.5,1548,0,0,0,1,1,13742,4708
76.0,1548,0,0,0,1,1,13742,4708
76.5,1548,0,0,0,1,1,13742,4708
77.0,1548,0,0,0,1,1,13742,4708
77.5,1548,0,0,0,1,1,13742,4708
78.0,1548,0,0,0,1,0,13742,4709
78.5,1548,0,0,0,1,0,13742,4709
79.0,1547,1,0,0,0,0,13743,4709
79.5,1547,1,0,0,0,0,13743,4709
80.0,1547,1,0,0,0,0,13743,4709
80.5,1547,1,0,0,0,0,13743,4709
81.0,1547,1,0,0,0,0,13743,4709
81.5,1547,1,0,0,0,0,13743,4709
82.0,1547,1,0,0,0,0,13743,4709
82.5,1547,0,1,0,0,0,13743,4709
83.0,1547,0,1,0,0,0,13743,4709
83.5,1547,0,1,0,0,0,13743,4709
84.0,1547,0,1,0,0,0,13743,4709
84.5,1547,0,0,0,0,0,13744,4709
