"time","newInfectors","newInfections","r","sevenDayAverageR"
0,500,791,1.582,1.582
2,28,49,1.75,1.666
3,28,37,1.3214285714285714,1.551142857142857
4,40,66,1.65,1.5758571428571426
5,63,103,1.6349206349206349,1.587669841269841
6,48,73,1.5208333333333333,1.5765304232804231
7,57,72,1.263157894736842,1.5317629192027689
8,47,56,1.1914893617021276,1.4759756851602153
9,88,120,1.3636363636363635,1.42078087996541
10,42,50,1.1904761904761905,1.4020733969722128
11,65,46,0.7076923076923077,1.267458012356828
12,40,43,1.075,1.1874693502253086
13,60,58,0.9666666666666667,1.108302683558642
14,67,71,1.0597014925373134,1.0792374832444236
15,102,101,0.9901960784313726,1.0504812999200301
16,80,70,0.875,0.9806761051148355
17,111,104,0.9369369369369369,0.9444562117520849
18,61,48,0.7868852459016393,0.9557694886391322
19,99,81,0.8181818181818182,0.9190811769508206
20,73,51,0.6986301369863014,0.8807902441393398
21,93,78,0.8387096774193549,0.8492199848367743
22,70,67,0.9571428571428572,0.8444980960812721
23,97,58,0.5979381443298969,0.804917830985543
24,32,18,0.5625,0.751426839994552
25,51,24,0.47058823529411764,0.7062415527649061
26,45,17,0.37777777777777777,0.643326689850043
27,66,31,0.4696969696969697,0.6106219516658529
28,58,30,0.5172413793103449,0.5646979090788514
29,88,45,0.5113636363636364,0.5010151632532486
30,58,48,0.8275862068965517,0.5338220293341992
31,71,51,0.7183098591549296,0.5560805806420462
32,57,32,0.5614035087719298,0.5690541911388766
33,51,39,0.7647058823529411,0.6243296346496141
34,37,23,0.6216216216216216,0.6460331563531359
35,67,41,0.6119402985074627,0.6595615733812955
36,35,20,0.5714285714285714,0.6681422783905718
37,56,30,0.5357142857142857,0.6264462896502482
38,35,16,0.45714285714285713,0.5891367179342378
39,53,22,0.41509433962264153,0.5682354080557681
40,37,15,0.40540540540540543,0.5169067684918344
41,47,17,0.3617021276595745,0.47977541221154196
42,42,20,0.47619047619047616,0.4603825804519725
43,38,26,0.6842105263157895,0.4764942882930037
44,30,28,0.9333333333333333,0.5332970093814391
45,37,19,0.5135135135135135,0.5413499602915328
46,24,15,0.625,0.571336483202584
47,39,16,0.41025641025641024,0.5720294838955847
48,22,14,0.6363636363636364,0.6112668422818793
49,24,5,0.20833333333333334,0.5730015361594303
50,17,9,0.5294117647058824,0.550887427358015
51,31,11,0.3548387096774194,0.4682453382643129
52,10,5,0.5,0.46631483633381093
53,34,14,0.4117647058823529,0.43585265145986135
54,14,9,0.6428571428571429,0.4690813275456803
55,28,16,0.5714285714285714,0.45980488969781386
56,12,7,0.5833333333333334,0.5133763182692425
57,25,8,0.32,0.4834603518826878
58,19,9,0.47368421052631576,0.5004382805753873
59,23,14,0.6086956521739131,0.5159662308859464
60,16,9,0.5625,0.5374998443313246
61,19,9,0.47368421052631576,0.5133322825697778
62,11,4,0.36363636363636365,0.4836476814566053
63,13,9,0.6923076923076923,0.4992154470243709
64,11,4,0.36363636363636365,0.5054492132581372
65,18,5,0.2777777777777778,0.47746258000834596
66,4,3,0.75,0.49764891541207273
67,15,5,0.3333333333333333,0.4649108201739775
68,13,4,0.3076923076923077,0.44119769119769064
69,1,0,0.0,0.3892496392496387
70,4,1,0.25,0.32606282606282555
71,19,9,0.47368421052631576,0.3417839470471044
72,14,7,0.5,0.3735299787931362
73,12,9,0.75,0.3735299787931362
74,2,1,0.5,0.39733950260266
75,13,2,0.15384615384615385,0.375361480624638
76,8,2,0.25,0.4110757663389237
77,8,7,0.875,0.5003614806246379
78,1,0,0.0,0.4326923076923071
79,9,1,0.1111111111111111,0.3771367521367516
80,6,0,0.0,0.2699938949938944
81,5,2,0.4,0.25570818070818013
82,1,1,1.0,0.376587301587301
83,10,5,0.5,0.4123015873015867
84,2,1,0.5,0.3587301587301582
85,9,7,0.7777777777777778,0.4698412698412692
86,4,2,0.5,0.5253968253968248
87,6,3,0.5,0.5968253968253963
88,2,0,0.0,0.5396825396825391
89,5,1,0.2,0.42539682539682483
90,3,0,0.0,0.35396825396825343
91,4,2,0.5,0.35396825396825343
92,1,0,0.0,0.2428571428571423
93,4,1,0.25,0.2071428571428566
94,1,0,0.0,0.13571428571428518
95,4,2,0.5,0.2071428571428566
97,4,0,0.0,0.17857142857142802
99,2,0,0.0,0.17857142857142802
100,2,2,1.0,0.2499999999999995
101,3,0,0.0,0.2499999999999995
102,3,1,0.3333333333333333,0.2619047619047614
103,4,2,0.5,0.33333333333333287
104,2,0,0.0,0.2619047619047614
105,1,0,0.0,0.2619047619047614
106,1,0,0.0,0.2619047619047614
108,1,0,0.0,0.11904761904761856
109,1,0,0.0,0.11904761904761856
114,1,0,0.0,0.07142857142857094
120,1,1,1.0,0.14285714285714238
123,1,0,0.0,0.14285714285714238
129,1,1,1.0,0.28571428571428525
133,1,0,0.0,0.28571428571428525
134,1,0,0.0,0.28571428571428525
135,1,0,0.0,0.28571428571428525
142,1,1,1.0,0.42857142857142805
159,1,0,0.0,0.2857142857142852
