"time","newInfectors","newInfections","r","sevenDayAverageR"
0,500,822,1.644,1.644
2,21,25,1.1904761904761905,1.4172380952380952
3,24,49,2.0416666666666665,1.6253809523809524
4,40,61,1.525,1.600285714285714
5,66,77,1.1666666666666667,1.5135619047619047
6,42,49,1.1666666666666667,1.4557460317460318
7,79,83,1.0506329113924051,1.3978727288383708
8,50,70,1.4,1.363015585981228
9,90,131,1.4555555555555555,1.4008840667068516
10,37,27,0.7297297297297297,1.2134645042872894
11,62,56,0.9032258064516129,1.1246396194946624
12,43,42,0.9767441860465116,1.097507836548926
13,70,53,0.7571428571428571,1.0390044351883818
14,68,83,1.2205882352941178,1.0632837671743407
15,96,92,0.9583333333333334,1.0001885290791026
16,77,86,1.1168831168831168,0.951806752125897
17,120,124,1.0333333333333334,0.9951786954978404
18,50,50,1.0,1.009003580290467
19,92,83,0.9021739130434783,0.9983506841471766
20,78,54,0.6923076923076923,0.9890885177421531
21,112,98,0.875,0.9397187698429935
22,57,48,0.8421052631578947,0.9231147598179309
23,103,67,0.6504854368932039,0.8564865198193718
24,29,17,0.5862068965517241,0.7926113145648562
25,64,55,0.859375,0.7725220288505705
26,41,25,0.6097560975609756,0.7307480552102129
27,58,27,0.46551724137931033,0.6983494193633012
28,68,44,0.6470588235294118,0.6657863941532173
29,93,50,0.5376344086021505,0.622290557788111
30,50,31,0.62,0.6179354953747962
31,84,42,0.5,0.6056202244388356
32,62,31,0.5,0.5542809387245499
33,75,29,0.38666666666666666,0.5224110200253629
34,43,26,0.6046511627906976,0.5422872945127039
35,66,36,0.5454545454545454,0.5277723976448658
36,60,38,0.6333333333333333,0.5414436726064634
37,58,27,0.46551724137931033,0.519374707089222
38,19,12,0.631578947368421,0.538171699570425
39,43,18,0.4186046511627907,0.5265437925936808
40,37,9,0.24324324324324326,0.5060547321046204
41,52,24,0.46153846153846156,0.48561006049715794
42,43,26,0.6046511627906976,0.4940667201166083
43,41,18,0.43902439024390244,0.46630829967526105
44,24,12,0.5,0.4712344080496452
45,37,23,0.6216216216216216,0.4698119329429596
46,26,14,0.5384615384615384,0.48693434541420927
47,29,15,0.5172413793103449,0.526076936280938
48,19,7,0.3684210526315789,0.5127744492942404
49,21,12,0.5714285714285714,0.5080283648139367
50,19,11,0.5789473684210527,0.5280173616963866
51,28,8,0.2857142857142857,0.4974051167984274
52,18,12,0.6666666666666666,0.5038401232334339
53,31,17,0.5483870967741935,0.5052580601352418
54,15,7,0.4666666666666667,0.49803310118614486
55,12,4,0.3333333333333333,0.4930205698578241
56,14,5,0.35714285714285715,0.4624083249598649
57,17,6,0.35294117647058826,0.4301217261097986
58,14,11,0.7857142857142857,0.50155029753837
59,25,11,0.44,0.46916934515741765
60,11,7,0.6363636363636364,0.48173742224162375
61,12,4,0.3333333333333333,0.4626898031940047
62,12,8,0.6666666666666666,0.5103088508130523
63,19,9,0.47368421052631576,0.5269576155821177
64,11,5,0.45454545454545453,0.5414725124499558
65,23,15,0.6521739130434783,0.5223953163541262
66,9,1,0.1111111111111111,0.47541118936999915
67,13,3,0.23076923076923078,0.41746913142794123
68,8,3,0.375,0.42342151238032216
69,17,6,0.35294117647058826,0.37860358520945386
70,8,2,0.25,0.34664869799140874
71,9,1,0.1111111111111111,0.29758664892935965
72,14,6,0.42857142857142855,0.265643436861924
73,6,1,0.16666666666666666,0.2735799447984319
74,7,4,0.5714285714285714,0.3222455648926234
75,7,4,0.5714285714285714,0.35030678938241927
76,4,1,0.25,0.3356009070294781
77,12,6,0.5,0.3713151927437638
78,5,3,0.6,0.44115646258503366
79,7,1,0.14285714285714285,0.4003401360544214
80,2,3,1.5,0.5908163265306119
81,13,8,0.6153846153846154,0.5970957613814755
82,2,1,0.5,0.5868916797488224
83,2,1,0.5,0.6226059654631081
84,3,3,1.0,0.6940345368916796
85,7,2,0.2857142857142857,0.6491365777080061
86,3,2,0.6666666666666666,0.7239665096807952
87,5,0,0.0,0.5096807953950809
88,3,1,0.3333333333333333,0.46938775510204067
89,6,4,0.6666666666666666,0.49319727891156445
90,2,1,0.5,0.49319727891156445
91,5,0,0.0,0.3503401360544216
92,1,0,0.0,0.30952380952380937
93,2,1,0.5,0.2857142857142856
94,2,0,0.0,0.2857142857142856
95,1,0,0.0,0.23809523809523797
96,2,0,0.0,0.14285714285714274
97,3,0,0.0,0.07142857142857131
99,1,0,0.0,0.07142857142857131
100,1,0,0.0,0.07142857142857131
101,2,0,0.0,0.0
103,1,0,0.0,0.0
104,1,0,0.0,0.0
105,3,0,0.0,0.0
106,1,0,0.0,0.0
108,1,0,0.0,0.0
109,1,0,0.0,0.0
110,2,0,0.0,0.0
111,1,0,0.0,0.0
113,1,0,0.0,0.0
115,1,0,0.0,0.0
