"time","s","e","a","p","sym","sev","r","d"
0.0,4500,500,0,0,0,0,0,0
0.5,4500,500,0,0,0,0,0,0
1.0,4500,384,64,52,0,0,0,0
1.5,4478,406,64,52,0,0,0,0
2.0,4444,340,113,84,10,0,9,0
2.5,4400,374,118,89,10,0,9,0
3.0,4340,345,139,110,30,2,34,0
3.5,4295,369,150,119,30,2,35,0
4.0,4205,397,140,120,50,7,80,1
4.5,4149,435,146,127,54,7,81,1
5.0,4077,420,167,149,64,13,109,1
5.5,4044,423,176,157,71,13,115,1
6.0,3975,394,193,168,91,17,157,5
6.5,3923,411,196,182,94,18,171,5
7.0,3862,388,195,193,115,20,216,11
7.5,3779,437,204,196,128,20,225,11
8.0,3668,461,217,201,140,38,260,15
8.5,3592,493,230,212,145,40,272,16
9.0,3481,533,217,207,156,49,332,25
9.5,3434,521,227,223,161,52,357,25
10.0,3321,558,214,231,157,57,427,35
10.5,3270,538,235,254,166,63,438,36
11.0,3174,534,226,271,175,77,495,48
11.5,3095,563,229,265,193,81,524,50
12.0,2986,571,226,271,211,92,583,60
12.5,2945,554,229,279,210,101,619,63
13.0,2891,521,232,272,213,118,679,74
13.5,2844,506,236,277,225,123,711,78
14.0,2765,498,223,274,238,124,783,95
14.5,2704,500,231,276,239,125,821,104
15.0,2621,485,241,262,248,119,900,124
15.5,2576,471,239,261,260,127,937,129
16.0,2496,458,245,264,269,123,993,152
16.5,2444,452,254,258,278,130,1025,159
17.0,2369,451,259,263,250,146,1086,176
17.5,2326,453,245,258,257,143,1123,195
18.0,2262,425,263,246,259,143,1182,220
18.5,2227,413,274,239,256,159,1208,224
19.0,2156,413,263,233,267,150,1272,246
19.5,2123,399,251,218,276,150,1328,255
20.0,2079,361,252,211,263,170,1393,271
20.5,2046,353,242,212,257,166,1438,286
21.0,2002,331,230,206,255,165,1499,312
21.5,1970,320,229,203,252,172,1535,319
22.0,1903,330,207,195,257,168,1604,336
22.5,1875,330,197,191,251,174,1638,344
23.0,1833,321,179,173,249,184,1697,364
23.5,1814,300,177,177,236,184,1728,384
24.0,1778,255,192,175,227,172,1787,414
24.5,1760,236,187,168,227,174,1822,426
25.0,1723,232,173,152,225,176,1870,449
25.5,1704,227,170,140,229,161,1901,468
26.0,1678,221,166,125,213,160,1946,491
26.5,1656,216,151,128,202,155,1986,506
27.0,1631,193,144,124,187,147,2045,529
27.5,1612,184,144,125,185,148,2068,534
28.0,1586,172,131,126,172,138,2123,552
28.5,1575,167,123,121,162,133,2151,568
29.0,1547,158,112,122,158,121,2193,589
29.5,1536,158,108,110,156,119,2212,601
30.0,1516,148,93,113,143,116,2250,621
30.5,1501,147,90,112,130,123,2267,630
31.0,1482,143,88,101,132,117,2289,648
31.5,1476,129,89,99,132,110,2303,662
32.0,1458,123,87,91,123,106,2337,675
32.5,1446,124,87,76,117,106,2358,686
33.0,1435,109,82,63,111,101,2393,706
33.5,1430,99,77,63,106,102,2412,711
34.0,1416,94,75,59,102,99,2432,723
34.5,1410,90,67,59,96,92,2450,736
35.0,1403,77,61,53,97,77,2478,754
35.5,1394,78,55,52,97,73,2491,760
36.0,1390,67,46,50,94,75,2510,768
36.5,1386,61,44,54,87,69,2522,777
37.0,1377,58,43,52,79,72,2535,784
37.5,1373,49,49,49,79,72,2541,788
38.0,1363,51,34,45,65,71,2573,798
38.5,1356,56,31,40,64,66,2585,802
39.0,1346,55,32,40,57,56,2602,812
39.5,1342,52,29,41,54,46,2614,822
40.0,1336,51,31,37,47,41,2628,829
40.5,1333,47,29,39,41,41,2636,834
41.0,1325,45,27,36,37,45,2646,839
41.5,1323,44,25,36,34,45,2652,841
42.0,1322,35,29,34,31,40,2665,844
42.5,1314,39,26,32,32,39,2672,846
43.0,1312,37,24,28,35,36,2679,849
43.5,1310,36,24,23,35,37,2684,851
44.0,1305,38,25,15,33,38,2689,857
44.5,1304,33,24,17,33,38,2692,859
45.0,1300,31,24,18,28,33,2698,868
45.5,1298,30,23,19,27,27,2703,873
46.0,1298,24,20,21,26,19,2712,880
46.5,1297,23,20,15,31,17,2716,881
47.0,1293,21,20,14,31,13,2722,886
47.5,1290,19,20,17,27,15,2725,887
48.0,1288,21,16,12,26,16,2733,888
48.5,1285,20,15,11,28,14,2735,892
49.0,1281,18,15,11,23,12,2745,895
49.5,1276,21,12,10,22,13,2751,895
50.0,1273,22,12,11,18,14,2754,896
50.5,1271,23,11,10,16,17,2756,896
51.0,1271,20,12,9,15,17,2757,899
51.5,1270,20,13,7,10,19,2761,900
52.0,1266,23,7,7,8,20,2768,901
52.5,1264,21,11,6,8,17,2768,905
53.0,1264,20,12,6,6,17,2768,907
53.5,1261,18,14,7,6,18,2768,908
54.0,1258,17,15,9,6,15,2770,910
54.5,1256,19,10,6,6,14,2776,913
55.0,1255,16,10,10,6,12,2777,914
55.5,1254,15,11,9,7,9,2780,915
56.0,1251,14,10,11,8,8,2782,916
56.5,1251,14,9,11,6,8,2783,918
57.0,1249,16,8,7,10,6,2785,919
57.5,1248,13,6,10,10,5,2788,920
58.0,1248,11,6,8,13,5,2789,920
58.5,1248,10,5,7,13,5,2791,921
59.0,1248,8,6,5,12,7,2793,921
59.5,1247,5,9,5,12,7,2793,922
60.0,1245,5,8,6,9,10,2795,922
60.5,1245,5,7,6,7,10,2797,923
61.0,1244,5,6,6,7,8,2800,924
61.5,1244,5,5,4,8,7,2802,925
62.0,1244,4,4,4,7,8,2804,925
62.5,1244,4,3,4,5,9,2806,925
63.0,1243,3,2,5,6,7,2808,926
63.5,1243,3,2,4,6,6,2809,927
64.0,1242,4,2,2,8,6,2809,927
64.5,1242,4,2,2,7,6,2809,928
65.0,1241,5,2,1,5,5,2811,930
65.5,1241,5,2,1,5,4,2811,931
66.0,1241,5,2,1,5,3,2811,932
66.5,1241,4,3,1,5,2,2812,932
67.0,1241,3,2,1,4,3,2813,933
67.5,1241,3,0,1,3,3,2815,934
68.0,1241,2,1,0,1,5,2816,934
68.5,1241,2,1,0,1,5,2816,934
69.0,1240,1,3,0,1,3,2816,936
69.5,1239,2,3,0,1,3,2816,936
70.0,1239,2,3,0,1,3,2816,936
70.5,1238,3,3,0,1,3,2816,936
71.0,1237,4,3,0,1,3,2816,936
71.5,1237,4,3,0,1,3,2816,936
72.0,1237,3,2,0,1,3,2818,936
72.5,1237,2,3,0,1,3,2818,936
73.0,1237,2,3,0,1,2,2818,937
73.5,1237,2,3,0,1,1,2818,938
74.0,1237,2,3,0,1,1,2818,938
74.5,1237,2,3,0,1,1,2818,938
75.0,1237,2,3,0,0,2,2818,938
75.5,1237,2,2,0,0,2,2819,938
76.0,1237,2,1,0,0,0,2821,939
76.5,1237,2,1,0,0,0,2821,939
77.0,1237,1,1,0,0,0,2822,939
77.5,1237,1,1,0,0,0,2822,939
78.0,1237,1,1,0,0,0,2822,939
78.5,1237,0,2,0,0,0,2822,939
79.0,1237,0,2,0,0,0,2822,939
79.5,1237,0,2,0,0,0,2822,939
80.0,1236,1,2,0,0,0,2822,939
80.5,1236,1,2,0,0,0,2822,939
81.0,1236,1,2,0,0,0,2822,939
81.5,1236,1,2,0,0,0,2822,939
82.0,1236,1,2,0,0,0,2822,939
82.5,1236,1,1,0,0,0,2823,939
83.0,1236,1,0,0,0,0,2824,939
83.5,1236,1,0,0,0,0,2824,939
84.0,1236,1,0,0,0,0,2824,939
84.5,1236,1,0,0,0,0,2824,939
85.0,1236,1,0,0,0,0,2824,939
85.5,1236,1,0,0,0,0,2824,939
86.0,1236,1,0,0,0,0,2824,939
86.5,1236,1,0,0,0,0,2824,939
87.0,1236,0,1,0,0,0,2824,939
87.5,1236,0,1,0,0,0,2824,939
88.0,1236,0,1,0,0,0,2824,939
88.5,1235,1,1,0,0,0,2824,939
89.0,1235,1,0,0,0,0,2825,939
89.5,1235,1,0,0,0,0,2825,939
90.0,1235,1,0,0,0,0,2825,939
90.5,1235,1,0,0,0,0,2825,939
91.0,1235,1,0,0,0,0,2825,939
91.5,1235,1,0,0,0,0,2825,939
92.0,1235,1,0,0,0,0,2825,939
92.5,1235,1,0,0,0,0,2825,939
93.0,1235,1,0,0,0,0,2825,939
93.5,1235,1,0,0,0,0,2825,939
94.0,1235,1,0,0,0,0,2825,939
94.5,1235,1,0,0,0,0,2825,939
95.0,1235,1,0,0,0,0,2825,939
95.5,1235,0,0,1,0,0,2825,939
96.0,1235,0,0,1,0,0,2825,939
96.5,1235,0,0,1,0,0,2825,939
97.0,1235,0,0,1,0,0,2825,939
97.5,1235,0,0,1,0,0,2825,939
98.0,1235,0,0,1,0,0,2825,939
98.5,1235,0,0,1,0,0,2825,939
99.0,1235,0,0,1,0,0,2825,939
99.5,1235,0,0,0,1,0,2825,939
100.0,1235,0,0,0,1,0,2825,939
100.5,1235,0,0,0,1,0,2825,939
101.0,1235,0,0,0,1,0,2825,939
101.5,1235,0,0,0,1,0,2825,939
102.0,1235,0,0,0,1,0,2825,939
102.5,1235,0,0,0,1,0,2825,939
103.0,1235,0,0,0,1,0,2825,939
103.5,1235,0,0,0,1,0,2825,939
104.0,1235,0,0,0,1,0,2825,939
104.5,1235,0,0,0,1,0,2825,939
105.0,1235,0,0,0,1,0,2825,939
105.5,1235,0,0,0,1,0,2825,939
106.0,1235,0,0,0,1,0,2825,939
106.5,1235,0,0,0,1,0,2825,939
107.0,1235,0,0,0,1,0,2825,939
107.5,1235,0,0,0,0,0,2826,939
