"time","s","e","a","p","sym","sev","r","d"
0.0,4500,500,0,0,0,0,0,0
0.5,4500,500,0,0,0,0,0,0
1.0,4500,392,51,57,0,0,0,0
1.5,4483,409,51,57,0,0,0,0
2.0,4454,361,70,84,17,0,14,0
2.5,4425,385,71,88,17,0,14,0
3.0,4386,328,109,110,29,5,33,0
3.5,4340,364,115,112,31,5,33,0
4.0,4281,341,136,128,48,12,54,0
4.5,4224,376,149,134,50,12,55,0
5.0,4132,393,151,147,70,12,93,2
5.5,4088,406,165,156,72,13,98,2
6.0,4029,380,168,161,91,18,148,5
6.5,3995,381,171,176,93,18,161,5
7.0,3922,369,184,169,117,26,203,10
7.5,3845,407,196,175,130,26,211,10
8.0,3732,441,198,185,137,36,258,13
8.5,3669,457,210,203,140,38,270,13
9.0,3560,491,207,204,142,54,325,17
9.5,3494,501,222,211,155,56,343,18
10.0,3393,505,218,229,161,56,403,35
10.5,3320,531,228,236,172,58,420,35
11.0,3204,562,223,242,179,58,486,46
11.5,3140,581,221,252,187,59,512,48
12.0,3057,571,239,249,195,70,565,54
12.5,3008,542,253,258,208,85,592,54
13.0,2946,521,255,252,209,112,645,60
13.5,2888,521,247,263,223,116,679,63
14.0,2837,473,236,280,220,119,748,87
14.5,2771,481,235,287,223,119,788,96
15.0,2683,495,227,282,240,119,835,119
15.5,2636,473,233,284,250,130,871,123
16.0,2556,455,246,287,249,134,929,144
16.5,2507,447,253,286,252,145,960,150
17.0,2445,430,253,263,271,150,1016,172
17.5,2401,425,248,258,282,146,1062,178
18.0,2335,415,230,263,272,146,1134,205
18.5,2285,409,226,256,281,150,1177,216
19.0,2227,403,216,243,272,156,1249,234
19.5,2189,395,217,235,263,171,1286,244
20.0,2140,374,219,228,261,176,1334,268
20.5,2109,358,202,227,255,185,1384,280
21.0,2074,335,175,217,257,182,1459,301
21.5,2040,313,182,210,258,183,1496,318
22.0,1988,309,181,197,256,171,1550,348
22.5,1956,302,170,196,255,165,1592,364
23.0,1912,291,169,200,238,160,1648,382
23.5,1888,286,164,190,225,162,1685,400
24.0,1857,253,167,194,207,156,1744,422
24.5,1840,241,167,189,200,153,1774,436
25.0,1800,244,161,179,191,153,1818,454
25.5,1773,238,154,179,184,151,1854,467
26.0,1741,221,154,171,185,150,1897,481
26.5,1723,218,147,162,189,140,1926,495
27.0,1695,215,145,150,178,143,1958,516
27.5,1682,203,136,148,179,138,1985,529
28.0,1657,201,118,122,190,137,2031,544
28.5,1644,190,119,121,181,134,2059,552
29.0,1624,171,112,129,157,140,2096,571
29.5,1602,176,109,119,145,147,2118,584
30.0,1589,164,102,99,151,134,2161,600
30.5,1572,159,96,98,144,134,2187,610
31.0,1544,157,96,90,134,137,2215,627
31.5,1532,143,92,87,133,129,2243,641
32.0,1514,133,81,88,134,109,2276,665
32.5,1502,129,81,85,134,107,2291,671
33.0,1482,128,78,86,111,117,2311,687
33.5,1471,123,73,84,109,116,2327,697
34.0,1451,116,68,89,104,111,2356,705
34.5,1439,112,67,88,97,104,2375,718
35.0,1427,99,72,86,95,89,2397,735
35.5,1417,97,68,79,95,86,2416,742
36.0,1409,82,64,76,95,85,2437,752
36.5,1399,85,62,73,92,85,2448,756
37.0,1389,83,58,62,90,81,2465,772
37.5,1377,83,58,58,91,79,2474,780
38.0,1370,80,52,56,87,69,2492,794
38.5,1365,70,51,54,87,64,2504,805
39.0,1359,61,46,53,89,60,2517,815
39.5,1349,63,45,52,83,59,2528,821
40.0,1341,61,42,47,81,57,2542,829
40.5,1337,54,39,51,77,56,2553,833
41.0,1332,50,36,48,71,54,2566,843
41.5,1329,47,36,41,72,53,2575,847
42.0,1327,45,28,35,69,56,2589,851
42.5,1322,42,29,35,63,56,2596,857
43.0,1309,50,26,31,55,55,2612,862
43.5,1307,45,23,31,48,53,2625,868
44.0,1304,39,26,30,40,52,2636,873
44.5,1300,36,24,31,39,53,2640,877
45.0,1293,32,25,34,36,45,2650,885
45.5,1291,29,25,32,34,42,2655,892
46.0,1286,30,24,30,34,38,2662,896
46.5,1282,30,21,26,33,38,2671,899
47.0,1278,33,15,21,34,34,2683,902
47.5,1277,31,17,20,33,33,2685,904
48.0,1271,28,16,22,34,32,2689,908
48.5,1267,29,15,20,34,30,2695,910
49.0,1266,25,15,21,29,32,2700,912
49.5,1260,29,12,20,27,31,2704,917
50.0,1258,27,12,16,27,28,2708,924
50.5,1254,25,15,15,23,29,2712,927
51.0,1252,25,16,13,22,26,2713,933
51.5,1252,21,10,14,22,25,2721,935
52.0,1252,19,10,12,19,30,2722,936
52.5,1252,18,10,9,19,27,2726,939
53.0,1250,17,10,7,19,26,2728,943
53.5,1250,15,11,6,18,25,2729,946
54.0,1247,13,12,8,17,23,2732,948
54.5,1247,12,10,9,17,20,2734,951
55.0,1245,11,10,9,15,17,2737,956
55.5,1245,7,13,10,11,16,2741,957
56.0,1243,7,12,10,11,14,2744,959
56.5,1240,8,10,9,12,12,2748,961
57.0,1237,9,11,8,11,12,2751,961
57.5,1236,9,10,7,12,10,2753,963
58.0,1236,7,9,6,13,11,2755,963
58.5,1235,8,8,6,10,12,2757,964
59.0,1235,6,8,6,9,10,2760,966
59.5,1234,6,9,4,9,10,2761,967
60.0,1234,6,8,4,5,10,2764,969
60.5,1234,2,9,6,5,8,2765,971
61.0,1233,1,7,7,4,8,2768,972
61.5,1233,1,6,7,2,10,2769,972
62.0,1233,1,6,6,3,8,2771,972
62.5,1233,1,6,4,4,7,2773,972
63.0,1232,2,5,4,4,6,2774,973
63.5,1231,3,5,4,3,6,2775,973
64.0,1231,2,6,3,4,4,2775,975
64.5,1231,2,6,3,3,1,2777,977
65.0,1231,2,5,3,2,2,2778,977
65.5,1231,2,3,2,3,2,2780,977
66.0,1231,2,2,1,4,1,2781,978
66.5,1231,2,2,1,4,1,2781,978
67.0,1231,2,2,0,5,1,2781,978
67.5,1231,1,2,1,4,2,2781,978
68.0,1231,1,2,1,3,2,2782,978
68.5,1231,1,1,1,3,2,2783,978
69.0,1231,1,1,1,2,2,2784,978
69.5,1231,1,1,1,2,2,2784,978
70.0,1231,1,0,1,0,2,2786,979
70.5,1231,1,0,1,0,2,2786,979
71.0,1231,0,1,1,0,2,2786,979
71.5,1231,0,1,1,0,2,2786,979
72.0,1230,1,0,1,0,2,2787,979
72.5,1230,1,0,1,0,2,2787,979
73.0,1230,1,0,1,0,2,2787,979
73.5,1230,1,0,1,0,1,2788,979
74.0,1230,1,0,1,0,0,2788,980
74.5,1230,1,0,1,0,0,2788,980
75.0,1230,1,0,1,0,0,2788,980
75.5,1230,1,0,0,1,0,2788,980
76.0,1230,0,1,0,1,0,2788,980
76.5,1230,0,1,0,1,0,2788,980
77.0,1230,0,0,0,1,0,2789,980
77.5,1230,0,0,0,1,0,2789,980
78.0,1230,0,0,0,1,0,2789,980
78.5,1230,0,0,0,1,0,2789,980
79.0,1230,0,0,0,1,0,2789,980
79.5,1230,0,0,0,1,0,2789,980
80.0,1230,0,0,0,1,0,2789,980
80.5,1230,0,0,0,1,0,2789,980
81.0,1230,0,0,0,1,0,2789,980
81.5,1230,0,0,0,0,1,2789,980
82.0,1230,0,0,0,0,1,2789,980
82.5,1230,0,0,0,0,1,2789,980
83.0,1230,0,0,0,0,1,2789,980
83.5,1230,0,0,0,0,0,2790,980
