"time","s","e","a","p","sym","sev","r","d"
0.0,4500,500,0,0,0,0,0,0
0.5,4500,500,0,0,0,0,0,0
1.0,4500,364,57,79,0,0,0,0
1.5,4471,393,57,79,0,0,0,0
2.0,4441,324,82,117,16,0,20,0
2.5,4396,363,84,121,16,0,20,0
3.0,4341,338,105,134,39,0,43,0
3.5,4287,376,115,138,41,0,43,0
4.0,4205,385,116,154,53,7,80,0
4.5,4154,405,131,167,54,7,82,0
5.0,4070,411,144,164,75,17,118,1
5.5,4039,414,152,175,76,17,126,1
6.0,3984,390,166,166,98,32,160,4
6.5,3940,402,177,170,105,33,169,4
7.0,3872,385,175,182,116,43,218,9
7.5,3792,429,180,195,119,46,230,9
8.0,3669,465,181,198,119,57,298,13
8.5,3601,474,207,211,132,57,304,14
9.0,3513,486,208,189,158,62,358,26
9.5,3440,505,226,182,169,67,385,26
10.0,3345,530,220,186,173,76,437,33
10.5,3273,549,227,195,175,83,464,34
11.0,3160,572,234,197,180,84,529,44
11.5,3088,577,248,206,189,86,560,46
12.0,2995,567,259,231,179,106,609,54
12.5,2941,540,268,254,183,112,641,61
13.0,2885,504,269,254,197,113,697,81
13.5,2839,492,259,272,205,111,735,87
14.0,2782,463,254,269,216,116,798,102
14.5,2725,461,262,267,232,119,829,105
15.0,2630,485,265,257,228,125,887,123
15.5,2587,462,255,255,239,135,939,128
16.0,2516,441,271,254,242,132,991,153
16.5,2454,462,257,249,243,144,1033,158
17.0,2400,438,260,245,243,130,1107,177
17.5,2366,424,255,242,235,138,1156,184
18.0,2303,406,254,246,235,137,1218,201
18.5,2261,387,261,240,262,133,1246,210
19.0,2203,385,231,230,267,137,1316,231
19.5,2191,353,224,223,265,150,1354,240
20.0,2144,330,223,226,262,157,1401,257
20.5,2109,317,223,216,272,155,1439,269
21.0,2069,304,215,207,263,160,1489,293
21.5,2039,297,216,202,253,165,1518,310
22.0,1992,287,213,193,240,166,1581,328
22.5,1957,296,200,184,231,171,1621,340
23.0,1909,287,193,182,223,171,1676,359
23.5,1884,278,184,178,219,172,1711,374
24.0,1856,257,178,162,208,164,1770,405
24.5,1838,245,169,161,188,168,1816,415
25.0,1806,227,152,158,195,153,1868,441
25.5,1784,214,150,152,196,143,1903,458
26.0,1751,215,137,132,189,143,1959,474
26.5,1738,203,130,126,183,141,1995,484
27.0,1711,186,140,125,167,138,2034,499
27.5,1693,175,138,118,170,122,2068,516
28.0,1670,157,138,104,173,113,2114,531
28.5,1658,141,149,99,165,115,2130,543
29.0,1637,130,140,98,152,119,2166,558
29.5,1616,140,125,98,145,118,2195,563
30.0,1593,132,123,90,143,124,2219,576
30.5,1582,127,116,85,137,122,2247,584
31.0,1559,132,110,77,127,120,2275,600
31.5,1551,129,103,73,123,115,2294,612
32.0,1527,133,89,69,117,108,2332,625
32.5,1517,137,79,67,109,109,2350,632
33.0,1505,126,80,61,100,105,2371,652
33.5,1498,122,77,57,98,95,2387,666
34.0,1488,113,67,54,92,85,2418,683
34.5,1481,109,62,51,88,81,2434,694
35.0,1472,92,53,60,78,78,2459,708
35.5,1464,87,55,61,71,73,2472,717
36.0,1454,83,47,56,63,68,2499,730
36.5,1444,85,44,54,65,62,2509,737
37.0,1436,79,46,48,60,56,2529,746
37.5,1432,65,53,53,51,57,2536,753
38.0,1421,58,51,50,55,52,2556,757
38.5,1412,56,53,50,54,48,2565,762
39.0,1407,55,44,48,56,38,2581,771
39.5,1399,55,45,41,62,38,2585,775
40.0,1393,53,44,35,65,35,2592,783
40.5,1392,48,43,35,61,34,2601,786
41.0,1382,52,44,28,62,30,2611,791
41.5,1378,52,38,28,58,30,2622,794
42.0,1373,46,36,31,47,35,2634,798
42.5,1368,43,34,31,49,29,2642,804
43.0,1360,43,31,33,44,26,2652,811
43.5,1356,44,29,31,43,25,2659,813
44.0,1350,41,27,31,41,21,2669,820
44.5,1346,44,21,28,38,23,2679,821
45.0,1344,37,22,24,35,23,2690,825
45.5,1341,34,19,23,36,23,2698,826
46.0,1338,33,18,20,36,26,2702,827
46.5,1336,30,19,20,31,25,2710,829
47.0,1333,28,18,17,30,25,2718,831
47.5,1333,26,16,15,32,20,2723,835
48.0,1331,25,15,14,27,19,2730,839
48.5,1330,23,14,15,26,19,2732,841
49.0,1329,20,15,14,24,17,2736,845
49.5,1329,12,16,18,25,17,2738,845
50.0,1324,14,14,17,25,15,2744,847
50.5,1323,15,14,14,26,15,2745,848
51.0,1323,12,13,16,24,12,2748,852
51.5,1322,10,14,14,23,12,2753,852
52.0,1321,8,13,16,18,12,2758,854
52.5,1320,9,11,14,16,13,2762,855
53.0,1316,12,11,11,17,14,2763,856
53.5,1314,13,11,9,16,13,2767,857
54.0,1313,11,7,10,12,15,2774,858
54.5,1311,13,6,9,9,17,2776,859
55.0,1308,14,6,7,11,12,2778,864
55.5,1307,14,5,6,10,13,2780,865
56.0,1306,12,7,6,7,15,2782,865
56.5,1304,12,8,6,5,15,2784,866
57.0,1302,10,8,7,5,15,2786,867
57.5,1302,9,6,8,4,15,2789,867
58.0,1301,9,5,7,5,13,2791,869
58.5,1299,9,5,9,5,12,2791,870
59.0,1298,10,5,5,7,10,2793,872
59.5,1298,8,4,6,8,8,2795,873
60.0,1298,5,3,8,6,9,2797,874
60.5,1298,5,3,8,5,7,2798,876
61.0,1297,6,3,7,4,6,2799,878
61.5,1297,6,3,5,6,4,2799,880
62.0,1297,6,1,4,7,3,2802,880
62.5,1297,5,2,4,7,3,2802,880
63.0,1297,4,2,5,5,3,2803,881
63.5,1297,4,1,4,6,3,2804,881
64.0,1297,4,1,2,7,4,2804,881
64.5,1297,3,2,1,7,4,2805,881
65.0,1296,1,2,3,7,2,2806,883
65.5,1296,1,2,2,6,4,2806,883
66.0,1295,2,2,2,5,5,2806,883
66.5,1294,3,1,2,5,4,2807,884
67.0,1294,3,1,0,5,4,2808,885
67.5,1294,2,1,1,4,3,2809,886
68.0,1294,2,1,1,3,2,2811,886
68.5,1294,2,1,1,3,2,2811,886
69.0,1294,2,1,1,3,2,2811,886
69.5,1294,2,1,1,1,3,2812,886
70.0,1294,2,0,1,1,3,2813,886
70.5,1294,2,0,0,2,3,2813,886
71.0,1293,2,0,1,2,3,2813,886
71.5,1293,2,0,1,2,2,2814,886
72.0,1293,2,0,1,2,2,2814,886
72.5,1293,2,0,1,2,2,2814,886
73.0,1293,1,0,2,2,0,2814,888
73.5,1293,1,0,2,1,1,2814,888
74.0,1293,1,0,2,1,1,2814,888
74.5,1293,1,0,2,1,1,2814,888
75.0,1293,1,0,0,2,2,2814,888
75.5,1293,1,0,0,2,2,2814,888
76.0,1293,1,0,0,1,2,2815,888
76.5,1293,1,0,0,1,2,2815,888
77.0,1293,1,0,0,1,1,2815,889
77.5,1293,1,0,0,1,1,2815,889
78.0,1293,0,1,0,1,1,2815,889
78.5,1293,0,1,0,1,0,2815,890
79.0,1293,0,1,0,0,1,2815,890
79.5,1293,0,1,0,0,1,2815,890
80.0,1293,0,1,0,0,1,2815,890
80.5,1293,0,1,0,0,1,2815,890
81.0,1293,0,1,0,0,1,2815,890
81.5,1293,0,1,0,0,1,2815,890
82.0,1293,0,1,0,0,1,2815,890
82.5,1293,0,1,0,0,1,2815,890
83.0,1293,0,1,0,0,1,2815,890
83.5,1293,0,1,0,0,1,2815,890
84.0,1293,0,0,0,0,1,2816,890
84.5,1293,0,0,0,0,1,2816,890
85.0,1293,0,0,0,0,1,2816,890
85.5,1293,0,0,0,0,1,2816,890
86.0,1293,0,0,0,0,0,2816,891
