"time","s","e","a","p","sym","sev","r","d"
0.0,4500,500,0,0,0,0,0,0
0.5,4500,500,0,0,0,0,0,0
1.0,4500,384,58,58,0,0,0,0
1.5,4471,413,58,58,0,0,0,0
2.0,4430,370,92,85,13,0,10,0
2.5,4388,409,93,87,13,0,10,0
3.0,4337,382,112,103,33,3,30,0
3.5,4294,409,120,109,34,3,31,0
4.0,4239,373,145,129,53,6,55,0
4.5,4170,425,146,137,57,6,59,0
5.0,4066,450,154,141,83,8,95,3
5.5,4029,451,174,148,87,8,100,3
6.0,3956,443,180,153,94,24,147,3
6.5,3915,448,191,168,94,26,155,3
7.0,3842,434,202,169,113,29,202,9
7.5,3771,466,209,174,124,30,217,9
8.0,3679,462,214,183,142,37,267,16
8.5,3595,487,235,196,150,41,279,17
9.0,3507,491,239,205,155,47,330,26
9.5,3441,501,239,219,167,48,356,29
10.0,3353,502,228,217,180,59,426,35
10.5,3286,493,237,237,190,67,455,35
11.0,3191,506,230,238,189,87,518,41
11.5,3130,497,248,254,190,92,546,43
12.0,3038,496,255,252,198,94,611,56
12.5,2997,480,259,256,211,98,637,62
13.0,2932,459,253,256,210,100,710,80
13.5,2894,444,253,256,212,115,745,81
14.0,2822,434,245,264,196,134,812,93
14.5,2772,442,248,242,211,144,840,101
15.0,2705,432,245,221,223,147,911,116
15.5,2647,437,245,222,233,145,943,128
16.0,2580,433,238,203,251,145,1007,143
16.5,2544,411,234,210,262,144,1044,151
17.0,2484,401,230,228,229,155,1101,172
17.5,2441,392,224,220,236,158,1148,181
18.0,2387,381,214,208,239,160,1207,204
18.5,2352,382,200,207,225,174,1247,213
19.0,2298,380,212,182,236,158,1296,238
19.5,2265,369,217,175,226,160,1337,251
20.0,2220,364,203,166,198,171,1403,275
20.5,2180,355,204,165,191,161,1452,292
21.0,2145,327,199,176,181,155,1499,318
21.5,2105,330,188,174,180,155,1538,330
22.0,2060,317,183,171,178,138,1596,357
22.5,2037,299,183,176,173,136,1627,369
23.0,2003,276,181,184,157,134,1673,392
23.5,1979,257,185,188,151,141,1696,403
24.0,1936,252,183,192,147,137,1736,417
24.5,1910,248,178,177,160,130,1768,429
25.0,1869,246,167,163,174,122,1817,442
25.5,1852,235,157,158,166,127,1854,451
26.0,1813,223,156,148,155,127,1908,470
26.5,1797,221,148,133,157,118,1937,489
27.0,1759,214,151,124,163,111,1972,506
27.5,1746,199,143,128,159,101,2004,520
28.0,1719,188,140,115,163,105,2042,528
28.5,1707,174,139,110,168,97,2068,537
29.0,1669,168,134,117,159,96,2109,548
29.5,1654,165,127,111,152,100,2135,556
30.0,1636,144,120,115,147,97,2178,563
30.5,1625,135,113,115,140,97,2198,577
31.0,1599,134,109,103,141,99,2224,591
31.5,1588,133,111,97,132,106,2237,596
32.0,1567,127,87,96,131,108,2275,609
32.5,1558,124,88,89,125,110,2292,614
33.0,1540,122,81,80,117,107,2322,631
33.5,1529,125,79,71,115,106,2334,641
34.0,1522,104,75,68,120,97,2361,653
34.5,1511,100,68,71,117,91,2379,663
35.0,1490,101,71,65,110,82,2406,675
35.5,1480,101,63,69,102,78,2423,684
36.0,1468,92,61,68,84,86,2448,693
36.5,1460,88,58,68,82,73,2468,703
37.0,1446,85,53,65,82,68,2490,711
37.5,1434,91,50,60,83,67,2499,716
38.0,1422,87,51,56,74,63,2518,729
38.5,1417,81,49,55,69,63,2534,732
39.0,1409,77,40,55,63,59,2555,742
39.5,1400,76,41,55,56,62,2562,748
40.0,1391,71,45,47,51,64,2572,759
40.5,1383,75,44,43,52,56,2583,764
41.0,1372,75,33,43,49,50,2602,776
41.5,1370,64,40,37,54,50,2607,778
42.0,1364,59,39,33,51,44,2622,788
42.5,1361,53,41,34,44,43,2630,794
43.0,1349,50,41,42,35,44,2641,798
43.5,1337,55,42,41,35,44,2645,801
44.0,1333,52,39,35,38,42,2655,806
44.5,1326,54,34,34,39,40,2663,810
45.0,1317,59,31,28,39,32,2676,818
45.5,1314,52,32,29,37,31,2683,822
46.0,1313,39,37,31,32,31,2692,825
46.5,1307,40,32,33,26,33,2702,827
47.0,1301,38,33,29,29,28,2709,833
47.5,1295,36,34,27,30,29,2715,834
48.0,1293,31,30,29,27,30,2722,838
48.5,1292,28,29,28,29,27,2727,840
49.0,1289,30,24,23,32,24,2733,845
49.5,1289,24,23,23,31,21,2739,850
50.0,1283,24,21,24,28,20,2747,853
50.5,1282,19,23,26,26,18,2751,855
51.0,1278,20,21,23,25,16,2760,857
51.5,1277,21,19,16,29,18,2763,857
52.0,1272,23,15,13,28,20,2771,858
52.5,1270,22,16,12,26,23,2773,858
53.0,1265,22,15,14,24,18,2778,864
53.5,1264,22,9,12,24,16,2787,866
54.0,1262,22,9,12,22,18,2788,867
54.5,1260,21,8,12,21,19,2791,868
55.0,1259,15,8,15,19,20,2795,869
55.5,1259,15,6,13,17,23,2797,870
56.0,1259,11,8,11,18,22,2800,871
56.5,1257,12,7,10,13,19,2804,878
57.0,1254,12,6,8,15,17,2808,880
57.5,1254,12,5,7,15,15,2810,882
58.0,1253,11,5,6,17,15,2811,882
58.5,1252,12,5,6,16,14,2813,882
59.0,1252,9,5,7,14,15,2815,883
59.5,1251,7,5,10,14,14,2815,884
60.0,1250,7,5,9,11,14,2819,885
60.5,1250,6,6,7,11,13,2820,887
61.0,1249,5,7,5,10,11,2824,889
61.5,1249,5,7,4,7,12,2826,890
62.0,1249,5,4,3,5,13,2830,891
62.5,1249,5,4,3,5,11,2830,893
63.0,1249,3,3,4,4,12,2831,894
63.5,1249,2,4,4,4,10,2831,896
64.0,1249,2,4,4,3,9,2831,898
64.5,1249,2,4,4,3,8,2831,899
65.0,1249,1,5,3,4,6,2833,899
65.5,1249,1,5,3,4,6,2833,899
66.0,1248,2,4,1,6,2,2834,903
66.5,1248,1,4,1,6,2,2835,903
67.0,1247,2,3,0,6,2,2837,903
67.5,1247,2,3,0,5,2,2837,904
68.0,1246,3,3,0,3,2,2839,904
68.5,1246,3,2,0,3,2,2840,904
69.0,1246,2,2,0,3,1,2841,905
69.5,1246,2,1,0,3,1,2842,905
70.0,1246,2,1,0,3,1,2842,905
70.5,1246,2,1,0,3,1,2842,905
71.0,1246,2,1,0,3,1,2842,905
71.5,1246,2,1,0,3,1,2842,905
72.0,1246,1,2,0,3,1,2842,905
72.5,1245,2,2,0,3,0,2842,906
73.0,1244,3,1,0,2,0,2844,906
73.5,1244,3,1,0,2,0,2844,906
74.0,1244,3,0,0,1,1,2845,906
74.5,1244,3,0,0,1,1,2845,906
75.0,1244,2,0,1,0,2,2845,906
75.5,1244,2,0,1,0,2,2845,906
76.0,1244,2,0,1,0,1,2845,907
76.5,1244,1,0,2,0,1,2845,907
77.0,1244,1,0,2,0,1,2845,907
77.5,1244,1,0,2,0,1,2845,907
78.0,1243,2,0,2,0,0,2845,908
78.5,1243,2,0,2,0,0,2845,908
79.0,1243,2,0,2,0,0,2845,908
79.5,1243,2,0,2,0,0,2845,908
80.0,1243,1,1,1,1,0,2845,908
80.5,1243,1,1,1,1,0,2845,908
81.0,1243,0,1,2,1,0,2845,908
81.5,1243,0,1,2,1,0,2845,908
82.0,1243,0,1,2,0,1,2845,908
82.5,1243,0,1,1,1,1,2845,908
83.0,1243,0,1,1,1,1,2845,908
83.5,1243,0,1,1,1,1,2845,908
84.0,1243,0,1,1,1,0,2845,909
84.5,1243,0,1,1,0,0,2846,909
85.0,1243,0,1,1,0,0,2846,909
85.5,1243,0,1,1,0,0,2846,909
86.0,1243,0,0,1,0,0,2847,909
86.5,1243,0,0,1,0,0,2847,909
87.0,1243,0,0,0,1,0,2847,909
87.5,1243,0,0,0,1,0,2847,909
88.0,1243,0,0,0,0,1,2847,909
88.5,1243,0,0,0,0,1,2847,909
89.0,1243,0,0,0,0,1,2847,909
89.5,1243,0,0,0,0,1,2847,909
90.0,1243,0,0,0,0,0,2847,910
