"time","s","e","a","p","sym","sev","r","d"
0.0,4500,500,0,0,0,0,0,0
0.5,4500,500,0,0,0,0,0,0
1.0,4500,387,46,67,0,0,0,0
1.5,4483,404,46,67,0,0,0,0
2.0,4444,349,71,112,11,0,13,0
2.5,4406,383,74,113,11,0,13,0
3.0,4354,348,102,133,32,1,30,0
3.5,4317,374,103,141,32,1,32,0
4.0,4248,360,116,156,57,5,58,0
4.5,4201,395,124,159,58,5,58,0
5.0,4121,373,152,168,83,14,89,0
5.5,4066,395,167,182,84,14,92,0
6.0,3995,398,163,169,110,20,141,4
6.5,3952,417,173,176,113,21,144,4
7.0,3890,406,168,177,124,33,194,8
7.5,3825,425,189,187,132,33,201,8
8.0,3734,432,198,193,129,49,252,13
8.5,3667,449,205,212,134,52,268,13
9.0,3564,466,205,219,136,60,331,19
9.5,3496,492,209,223,151,60,349,20
10.0,3394,517,208,216,163,69,404,29
10.5,3339,511,217,228,175,75,425,30
11.0,3249,510,221,239,176,81,482,42
11.5,3178,528,219,251,182,87,510,45
12.0,3080,533,218,261,187,97,573,51
12.5,3034,519,231,264,192,103,602,55
13.0,2965,492,246,261,200,116,650,70
13.5,2922,478,248,260,215,115,686,76
14.0,2856,473,237,257,209,120,756,92
14.5,2787,478,245,256,220,128,792,94
15.0,2711,475,250,241,240,121,851,111
15.5,2664,460,249,253,246,126,887,115
16.0,2571,477,261,244,238,122,944,143
16.5,2519,477,263,245,245,123,978,150
17.0,2440,475,245,249,245,126,1047,173
17.5,2394,471,252,247,245,132,1079,180
18.0,2330,447,258,237,252,135,1142,199
18.5,2282,440,253,227,271,135,1183,209
19.0,2218,426,251,243,242,141,1250,229
19.5,2188,393,255,253,229,157,1288,237
20.0,2132,380,239,239,233,162,1356,259
20.5,2106,359,233,232,241,164,1392,273
21.0,2064,338,216,223,257,148,1458,296
21.5,2022,349,204,208,250,150,1506,311
22.0,1982,329,197,197,254,151,1558,332
22.5,1954,317,190,193,242,150,1604,350
23.0,1905,296,193,198,231,150,1655,372
23.5,1879,270,196,198,236,146,1692,383
24.0,1844,248,199,180,241,146,1739,403
24.5,1831,221,188,179,228,150,1789,414
25.0,1795,214,178,175,219,145,1832,442
25.5,1777,214,161,160,219,145,1868,456
26.0,1754,185,160,151,217,140,1913,480
26.5,1735,182,160,144,204,142,1940,493
27.0,1706,174,141,137,194,143,1989,516
27.5,1689,172,133,126,195,134,2018,533
28.0,1665,163,116,120,179,137,2070,550
28.5,1653,156,114,108,173,134,2098,564
29.0,1626,156,103,101,171,122,2140,581
29.5,1611,156,97,98,163,121,2162,592
30.0,1590,137,94,97,153,118,2204,607
30.5,1580,129,93,96,147,115,2225,615
31.0,1564,124,81,89,137,112,2259,634
31.5,1552,116,81,94,126,111,2278,642
32.0,1530,117,81,76,134,112,2296,654
32.5,1521,114,73,77,124,106,2320,665
33.0,1506,104,73,75,107,110,2347,678
33.5,1498,106,66,70,107,103,2364,686
34.0,1483,103,66,60,97,99,2387,705
34.5,1479,93,67,58,97,95,2398,713
35.0,1463,92,70,52,89,80,2424,730
35.5,1459,87,67,48,89,71,2437,742
36.0,1453,76,64,49,77,70,2458,753
36.5,1449,76,63,44,76,68,2469,755
37.0,1440,74,52,45,65,64,2494,766
37.5,1435,68,50,47,64,62,2505,769
38.0,1427,57,45,54,55,60,2523,779
38.5,1422,53,38,54,48,66,2538,781
39.0,1411,52,34,50,51,53,2554,795
39.5,1409,47,37,45,47,55,2562,798
40.0,1402,39,40,41,46,55,2573,804
40.5,1397,40,38,39,45,53,2580,808
41.0,1391,37,36,32,49,48,2587,820
41.5,1386,35,34,34,48,39,2595,829
42.0,1380,35,32,30,47,34,2607,835
42.5,1376,36,30,28,46,35,2612,837
43.0,1369,34,30,21,47,34,2623,842
43.5,1367,34,31,19,44,36,2624,845
44.0,1361,35,25,20,38,32,2639,850
44.5,1360,29,27,21,40,30,2641,852
45.0,1356,23,27,23,35,32,2648,856
45.5,1354,25,23,18,34,32,2655,859
46.0,1351,23,22,16,27,32,2663,866
46.5,1347,25,21,15,25,31,2667,869
47.0,1344,25,18,12,21,30,2677,873
47.5,1344,21,16,12,22,28,2682,875
48.0,1343,16,13,14,22,22,2690,880
48.5,1340,18,12,14,22,18,2691,885
49.0,1338,17,10,15,19,17,2697,887
49.5,1336,15,10,15,17,18,2701,888
50.0,1335,10,10,17,20,14,2702,892
50.5,1333,12,9,16,20,14,2704,892
51.0,1330,10,10,17,19,15,2705,894
51.5,1330,10,10,17,16,13,2706,898
52.0,1326,13,9,14,17,13,2708,900
52.5,1325,12,10,14,14,13,2711,901
53.0,1323,14,7,11,13,15,2715,902
53.5,1323,11,6,10,13,15,2720,902
54.0,1323,6,9,9,9,14,2725,905
54.5,1322,5,9,10,9,11,2727,907
55.0,1322,4,8,5,14,7,2730,910
55.5,1322,3,8,6,13,7,2730,911
56.0,1319,5,7,6,11,5,2734,913
56.5,1318,5,7,7,11,5,2734,913
57.0,1316,7,6,7,6,7,2738,913
57.5,1316,7,4,5,8,6,2740,914
58.0,1316,5,5,4,10,4,2740,916
58.5,1316,5,5,3,10,4,2741,916
59.0,1316,4,4,4,7,4,2745,916
59.5,1316,4,4,3,7,5,2745,916
60.0,1316,3,4,3,6,5,2746,917
60.5,1315,4,3,3,4,5,2748,918
61.0,1315,4,0,3,2,6,2752,918
61.5,1315,4,0,2,3,5,2752,919
62.0,1315,3,0,3,2,3,2752,922
62.5,1315,2,0,4,1,4,2752,922
63.0,1315,1,1,2,3,2,2753,923
63.5,1314,1,1,3,3,2,2753,923
64.0,1314,1,1,3,2,2,2754,923
64.5,1314,1,1,3,2,2,2754,923
65.0,1314,1,0,3,2,2,2755,923
65.5,1314,1,0,2,3,2,2755,923
66.0,1314,1,0,1,4,2,2755,923
66.5,1313,1,0,2,3,2,2755,924
67.0,1313,1,0,2,3,2,2755,924
67.5,1313,1,0,2,2,2,2755,925
68.0,1313,1,0,2,0,4,2755,925
68.5,1313,0,0,3,0,4,2755,925
69.0,1313,0,0,3,0,4,2755,925
69.5,1313,0,0,1,2,4,2755,925
70.0,1313,0,0,1,2,3,2755,926
70.5,1313,0,0,0,3,2,2755,927
71.0,1313,0,0,0,3,2,2755,927
71.5,1313,0,0,0,3,2,2755,927
72.0,1313,0,0,0,3,2,2755,927
72.5,1313,0,0,0,3,2,2755,927
73.0,1313,0,0,0,3,1,2755,928
73.5,1313,0,0,0,3,1,2755,928
74.0,1313,0,0,0,3,1,2755,928
74.5,1313,0,0,0,2,1,2755,929
75.0,1313,0,0,0,2,1,2755,929
75.5,1313,0,0,0,1,2,2755,929
76.0,1313,0,0,0,1,2,2755,929
76.5,1313,0,0,0,1,2,2755,929
77.0,1313,0,0,0,1,2,2755,929
77.5,1313,0,0,0,0,2,2756,929
78.0,1313,0,0,0,0,2,2756,929
78.5,1313,0,0,0,0,0,2756,931
