"time","s","e","a","p","sym","sev","r","d"
0.0,4500,500,0,0,0,0,0,0
0.5,4500,500,0,0,0,0,0,0
1.0,4500,389,46,65,0,0,0,0
1.5,4481,408,46,65,0,0,0,0
2.0,4448,354,77,95,16,0,10,0
2.5,4420,379,80,95,16,0,10,0
3.0,4374,345,113,106,36,2,24,0
3.5,4328,378,118,114,36,2,24,0
4.0,4274,362,122,129,50,8,55,0
4.5,4221,400,128,136,51,8,56,0
5.0,4169,380,135,146,64,16,89,1
5.5,4138,384,145,158,68,16,90,1
6.0,4061,387,149,160,83,22,133,5
6.5,4024,396,153,173,88,23,138,5
7.0,3960,368,162,184,100,27,187,12
7.5,3907,402,170,179,106,28,196,12
8.0,3830,391,170,176,128,31,257,17
8.5,3761,417,189,187,132,31,266,17
9.0,3649,469,183,169,147,43,318,22
9.5,3581,478,196,184,156,46,337,22
10.0,3493,487,205,189,155,61,379,31
10.5,3418,510,213,202,161,65,400,31
11.0,3322,535,202,203,167,70,457,44
11.5,3242,553,207,221,180,72,480,45
12.0,3159,541,221,236,174,87,525,57
12.5,3121,513,234,241,187,89,556,59
13.0,3067,490,238,229,196,97,609,74
13.5,3024,469,246,232,203,109,641,76
14.0,2939,474,255,232,212,109,689,90
14.5,2869,488,256,226,221,121,724,95
15.0,2773,505,253,225,214,132,786,112
15.5,2720,507,250,224,221,131,827,120
16.0,2655,492,243,222,233,129,890,136
16.5,2595,503,246,208,241,142,925,140
17.0,2523,481,256,221,232,143,989,155
17.5,2470,471,260,240,225,138,1026,170
18.0,2396,459,274,247,210,141,1084,189
18.5,2349,447,267,248,225,143,1122,199
19.0,2268,463,261,236,224,142,1183,223
19.5,2236,435,265,235,220,150,1228,231
20.0,2193,396,270,237,215,149,1284,256
20.5,2161,377,262,235,215,151,1331,268
21.0,2119,359,243,219,226,151,1397,286
21.5,2089,338,238,219,221,151,1447,297
22.0,2038,324,225,219,226,149,1508,311
22.5,2005,314,215,225,222,146,1552,321
23.0,1960,300,210,213,220,146,1614,337
23.5,1938,280,208,201,224,147,1653,349
24.0,1887,293,195,191,218,149,1701,366
24.5,1862,291,184,171,219,164,1734,375
25.0,1834,250,189,166,212,175,1781,393
25.5,1816,248,177,144,209,168,1831,407
26.0,1778,239,174,125,216,160,1877,431
26.5,1752,238,168,122,203,161,1911,445
27.0,1719,221,164,129,176,161,1964,466
27.5,1699,210,161,138,168,157,1994,473
28.0,1680,193,153,125,169,150,2037,493
28.5,1658,195,148,117,166,138,2068,510
29.0,1626,198,134,113,159,124,2114,532
29.5,1605,190,134,118,147,120,2143,543
30.0,1576,180,117,121,127,122,2196,561
30.5,1559,175,120,118,131,112,2212,573
31.0,1535,166,108,115,126,110,2253,587
31.5,1530,153,105,113,122,110,2273,594
32.0,1515,141,96,106,127,103,2302,610
32.5,1499,138,100,101,125,102,2320,615
33.0,1478,127,100,95,122,101,2348,629
33.5,1466,125,93,94,112,105,2372,633
34.0,1447,127,90,86,109,101,2396,644
34.5,1436,125,80,81,110,97,2420,651
35.0,1421,119,73,76,108,88,2446,669
35.5,1410,110,79,75,105,88,2457,676
36.0,1392,112,76,70,93,85,2485,687
36.5,1380,111,70,68,88,87,2502,694
37.0,1376,90,71,70,82,79,2527,705
37.5,1370,86,66,68,82,73,2542,713
38.0,1356,87,60,60,83,64,2564,726
38.5,1353,81,56,54,83,63,2580,730
39.0,1342,76,58,54,79,63,2590,738
39.5,1334,78,57,51,74,59,2599,748
40.0,1321,79,54,51,64,61,2615,755
40.5,1320,72,51,50,64,61,2627,755
41.0,1313,63,48,49,63,56,2648,760
41.5,1309,57,50,43,61,61,2654,765
42.0,1298,51,44,38,60,61,2677,771
42.5,1292,48,44,37,61,59,2684,775
43.0,1287,45,41,36,58,48,2699,786
43.5,1282,43,41,35,55,50,2705,789
44.0,1275,42,37,38,41,56,2717,794
44.5,1272,42,31,37,37,54,2729,798
45.0,1270,33,27,38,39,48,2739,806
45.5,1267,31,27,35,37,46,2745,812
46.0,1265,25,25,30,41,39,2754,821
46.5,1261,27,21,29,40,36,2761,825
47.0,1255,28,20,23,44,37,2766,827
47.5,1251,26,24,22,42,31,2773,831
48.0,1247,25,23,21,39,28,2782,835
48.5,1242,27,19,21,35,27,2790,839
49.0,1234,32,15,16,33,31,2796,843
49.5,1231,30,16,16,32,27,2800,848
50.0,1227,27,15,19,27,23,2809,853
50.5,1225,25,15,19,24,23,2815,854
51.0,1220,23,17,18,24,18,2822,858
51.5,1217,25,14,16,25,13,2829,861
52.0,1214,23,17,14,24,16,2830,862
52.5,1212,22,18,16,23,14,2831,864
53.0,1211,20,19,13,23,15,2833,866
53.5,1209,20,17,14,22,16,2836,866
54.0,1204,20,15,15,16,19,2841,870
54.5,1201,20,15,13,16,22,2843,870
55.0,1200,19,15,12,17,20,2845,872
55.5,1200,14,16,15,16,19,2848,872
56.0,1195,16,14,17,13,17,2853,875
56.5,1195,15,14,16,13,17,2854,876
57.0,1194,12,14,17,12,17,2857,877
57.5,1193,11,13,18,12,16,2860,877
58.0,1191,13,9,14,14,13,2869,877
58.5,1191,12,7,12,16,12,2871,879
59.0,1190,10,8,11,16,10,2873,882
59.5,1187,13,7,9,16,11,2874,883
60.0,1187,10,7,10,18,8,2876,884
60.5,1187,9,8,8,19,7,2876,886
61.0,1187,8,8,9,16,7,2877,888
61.5,1187,8,7,8,13,11,2878,888
62.0,1187,7,6,6,14,9,2882,889
62.5,1186,7,7,5,14,7,2883,891
63.0,1186,7,5,3,14,9,2885,891
63.5,1186,6,5,3,11,10,2887,892
64.0,1186,4,4,4,8,13,2889,892
64.5,1186,3,3,5,8,13,2890,892
65.0,1186,3,2,3,8,14,2891,893
65.5,1186,2,1,3,8,13,2892,895
66.0,1186,1,2,2,8,12,2893,896
66.5,1186,1,2,2,6,10,2896,897
67.0,1186,1,2,1,7,6,2896,901
67.5,1186,0,1,1,7,5,2897,903
68.0,1186,0,1,1,5,6,2898,903
68.5,1186,0,1,0,5,6,2898,904
69.0,1185,1,1,0,5,4,2900,904
69.5,1184,2,1,0,5,4,2900,904
70.0,1184,2,0,0,5,4,2901,904
70.5,1184,2,0,0,5,2,2901,906
71.0,1184,2,0,0,4,3,2901,906
71.5,1184,2,0,0,4,3,2901,906
72.0,1184,2,0,0,3,3,2901,907
72.5,1184,2,0,0,2,4,2901,907
73.0,1184,2,0,0,0,5,2902,907
73.5,1184,2,0,0,0,3,2902,909
74.0,1184,2,0,0,0,3,2902,909
74.5,1184,1,0,1,0,3,2902,909
75.0,1184,1,0,1,0,2,2902,910
75.5,1184,1,0,1,0,2,2902,910
76.0,1184,1,0,1,0,2,2902,910
76.5,1184,1,0,1,0,2,2902,910
77.0,1184,0,0,2,0,2,2902,910
77.5,1184,0,0,2,0,2,2902,910
78.0,1184,0,0,1,1,1,2902,911
78.5,1183,1,0,1,1,1,2902,911
79.0,1183,1,0,1,1,0,2903,911
79.5,1183,1,0,1,1,0,2903,911
80.0,1183,1,0,1,1,0,2903,911
80.5,1183,1,0,1,1,0,2903,911
81.0,1183,1,0,1,1,0,2903,911
81.5,1183,1,0,1,1,0,2903,911
82.0,1183,1,0,1,0,1,2903,911
82.5,1183,1,0,0,1,1,2903,911
83.0,1183,1,0,0,1,1,2903,911
83.5,1183,1,0,0,0,1,2904,911
84.0,1183,1,0,0,0,1,2904,911
84.5,1183,1,0,0,0,1,2904,911
85.0,1183,1,0,0,0,1,2904,911
85.5,1183,0,0,1,0,1,2904,911
86.0,1183,0,0,1,0,1,2904,911
86.5,1183,0,0,1,0,1,2904,911
87.0,1183,0,0,1,0,1,2904,911
87.5,1183,0,0,0,1,1,2904,911
88.0,1183,0,0,0,1,1,2904,911
88.5,1183,0,0,0,1,1,2904,911
89.0,1183,0,0,0,1,0,2905,911
89.5,1183,0,0,0,1,0,2905,911
90.0,1183,0,0,0,1,0,2905,911
90.5,1183,0,0,0,0,1,2905,911
91.0,1183,0,0,0,0,1,2905,911
91.5,1183,0,0,0,0,1,2905,911
92.0,1183,0,0,0,0,1,2905,911
92.5,1183,0,0,0,0,1,2905,911
93.0,1183,0,0,0,0,1,2905,911
93.5,1183,0,0,0,0,0,2905,912
