"time","newInfectors","newInfections","r","sevenDayAverageR"
0,500,793,1.586,1.586
2,32,45,1.40625,1.4961250000000001
3,25,26,1.04,1.3440833333333335
4,34,53,1.5588235294117647,1.3977683823529412
5,67,84,1.2537313432835822,1.3689609745390694
6,42,52,1.2380952380952381,1.3471500184650977
7,67,84,1.2537313432835822,1.333804493439167
8,52,72,1.3846153846153846,1.3050352626699362
9,72,100,1.3888888888888888,1.3025551039397776
10,46,45,0.9782608695652174,1.2937352281633798
11,60,65,1.0833333333333333,1.2258080572950327
12,36,30,0.8333333333333334,1.1657511987307114
13,69,58,0.8405797101449275,1.1089632661663813
14,71,68,0.9577464788732394,1.0666797141077609
15,89,90,1.0112359550561798,1.0133397955993029
16,68,52,0.7647058823529411,0.9241707946655963
17,89,98,1.101123595505618,0.9417226126570819
18,63,62,0.9841269841269841,0.9275502770561749
19,91,92,1.010989010989011,0.9529296595784146
20,76,65,0.8552631578947368,0.9550272949712445
21,86,63,0.7325581395348837,0.9228575322086224
22,69,65,0.9420289855072463,0.9129708222730605
23,100,97,0.97,0.9422985533654974
24,42,20,0.47619047619047616,0.8530223934633343
25,43,18,0.4186046511627907,0.7722334887541639
26,34,22,0.6470588235294118,0.7202434619742212
27,63,33,0.5238095238095238,0.6728929428191907
28,67,40,0.5970149253731343,0.6535296265103694
29,89,61,0.6853932584269663,0.6168673797846151
30,49,31,0.6326530612244898,0.5686749599595423
31,72,50,0.6944444444444444,0.5998540982815378
32,49,37,0.7551020408163265,0.6479251539463285
33,80,50,0.625,0.6447738934421269
34,40,31,0.775,0.6806582471836234
35,79,46,0.5822784810126582,0.6785530408464125
36,38,30,0.7894736842105263,0.6934216731012068
37,66,31,0.4696969696969697,0.6701422314544183
38,34,16,0.47058823529411764,0.6381627730043716
39,52,21,0.40384615384615385,0.5879833605800613
40,32,13,0.40625,0.5567333605800613
41,44,26,0.5909090909090909,0.53043465928136
42,27,10,0.37037037037037035,0.5001620720467475
43,42,16,0.38095238095238093,0.4418018858670124
44,34,18,0.5294117647058824,0.4503325708682856
45,27,9,0.3333333333333333,0.4307247277310307
46,44,21,0.4772727272727273,0.4412142382205412
47,42,16,0.38095238095238093,0.4376002926423099
48,23,18,0.782608695652174,0.4649859504627503
49,43,22,0.5116279069767442,0.4851655985493752
50,21,12,0.5714285714285714,0.5123764829031167
51,31,16,0.5161290322580645,0.5104789496962855
52,22,9,0.4090909090909091,0.5213014605187963
53,33,20,0.6060606060606061,0.5396997289170647
54,13,5,0.38461538461538464,0.5402230151546367
55,26,9,0.34615384615384615,0.47787232236916133
56,8,1,0.125,0.42263976422962646
57,17,9,0.5294117647058824,0.41663736326924233
58,22,18,0.8181818181818182,0.45978776125835
59,24,16,0.6666666666666666,0.4965842980548868
60,11,9,0.8181818181818182,0.5268873283579171
61,15,9,0.6,0.557656559127148
62,14,7,0.5,0.5796345811051699
63,28,12,0.42857142857142855,0.6230019280439454
64,18,7,0.3888888888888889,0.6029272314986607
65,12,5,0.4166666666666667,0.5455679241393534
66,9,4,0.4444444444444444,0.5138218923933217
67,15,5,0.3333333333333333,0.4445578231292524
68,8,7,0.875,0.48384353741496666
69,11,6,0.5454545454545454,0.49033704390847316
70,13,7,0.5384615384615384,0.5060356310356318
71,15,9,0.6,0.5361943611943619
72,8,5,0.625,0.5659562659562666
73,14,6,0.42857142857142855,0.5636886922601214
74,5,2,0.4,0.573212501783931
75,17,10,0.5882352941176471,0.5322461152293092
76,9,4,0.4444444444444444,0.5178161007992947
77,10,4,0.4,0.498035881019075
78,10,12,1.2,0.5837501667333608
79,6,3,0.5,0.565893023876218
80,3,1,0.3333333333333333,0.5522875816993472
81,10,3,0.3,0.538001867413633
82,2,1,0.5,0.5253968253968263
83,3,1,0.3333333333333333,0.5095238095238104
84,4,1,0.25,0.48809523809523897
85,6,1,0.16666666666666666,0.3404761904761913
86,2,0,0.0,0.26904761904761987
87,8,2,0.25,0.25714285714285795
88,5,0,0.0,0.2142857142857151
89,8,4,0.5,0.2142857142857151
90,2,1,0.5,0.23809523809523894
91,7,2,0.2857142857142857,0.24319727891156548
92,3,1,0.3333333333333333,0.2670068027210893
93,8,6,0.75,0.3741496598639464
94,6,1,0.16666666666666666,0.36224489795918446
95,3,2,0.6666666666666666,0.4574829931972797
96,2,0,0.0,0.38605442176870824
97,3,0,0.0,0.31462585034013685
98,3,0,0.0,0.2738095238095246
99,3,3,1.0,0.36904761904761985
100,3,1,0.3333333333333333,0.3095238095238103
101,4,0,0.0,0.28571428571428653
102,1,0,0.0,0.19047619047619133
103,1,2,2.0,0.47619047619047705
105,2,0,0.0,0.47619047619047705
107,3,1,0.3333333333333333,0.5238095238095247
108,4,1,0.25,0.4166666666666675
109,5,0,0.0,0.3690476190476199
110,1,0,0.0,0.3690476190476199
111,1,0,0.0,0.3690476190476199
112,1,0,0.0,0.08333333333333418
113,1,0,0.0,0.08333333333333418
114,1,0,0.0,0.035714285714286566
115,2,1,0.5,0.07142857142857229
119,1,0,0.0,0.07142857142857229
125,1,0,0.0,0.07142857142857229
127,1,1,1.0,0.21428571428571513
128,1,0,0.0,0.21428571428571513
136,1,1,1.0,0.35714285714285804
145,1,2,2.0,0.6428571428571438
150,1,0,0.0,0.5714285714285723
151,1,0,0.0,0.5714285714285723
