"time","newInfectors","newInfections","r","sevenDayAverageR"
0,500,809,1.618,1.618
2,16,19,1.1875,1.4027500000000002
3,10,15,1.5,1.4351666666666667
4,21,44,2.0952380952380953,1.6001845238095238
5,49,60,1.2244897959183674,1.5250455782312926
6,40,69,1.725,1.5583713151927439
7,63,67,1.0634920634920635,1.4876742792355038
8,52,56,1.0769230769230769,1.4103775759388004
9,78,101,1.294871794871795,1.4257164037776282
10,35,29,0.8285714285714286,1.3297980364306896
11,66,81,1.2272727272727273,1.2058029838642084
12,46,34,0.7391304347826086,1.1364659322733857
13,72,48,0.6666666666666666,0.9852754560829096
14,73,82,1.1232876712328768,0.9938176857601686
15,90,110,1.2222222222222223,1.0145747065171895
16,67,84,1.2537313432835822,1.008697499147445
17,104,92,0.8846153846153846,1.0167037785822959
18,61,66,1.0819672131147542,0.9959458479882997
19,79,79,1.0,1.0332129287336413
20,59,44,0.7457627118644068,1.0445123637618898
21,105,82,0.780952380952381,0.9956073222932476
22,81,76,0.9382716049382716,0.9550429483955403
23,96,68,0.7083333333333334,0.8771289469740761
24,34,15,0.4411764705882353,0.8137805306844833
25,66,49,0.7424242424242424,0.7652743920144102
26,43,23,0.5348837209302325,0.6988292092901577
27,73,49,0.6712328767123288,0.6881820899827181
28,63,36,0.5714285714285714,0.6582501171936024
29,87,56,0.6436781609195402,0.6161653394766409
30,61,41,0.6721311475409836,0.6109935986491623
31,80,52,0.65,0.6408255314222716
32,43,35,0.813953488372093,0.6510439951291074
33,75,48,0.64,0.6660606064247884
34,49,31,0.6326530612244898,0.6605492042122398
35,83,53,0.6385542168674698,0.6701385821320825
36,55,39,0.7090909090909091,0.679483260442278
37,58,31,0.5344827586206896,0.6598192048822361
38,26,10,0.38461538461538464,0.6219071169701482
39,48,15,0.3125,0.5502709043455635
40,28,15,0.5357142857142857,0.53537294516189
41,37,14,0.3783783783783784,0.4990479904695884
42,37,26,0.7027027027027027,0.5082120598746217
43,51,19,0.37254901960784315,0.4601346470913265
44,29,12,0.41379310344827586,0.4428932677809817
45,47,33,0.7021276595744681,0.488252164203708
46,29,15,0.5172413793103449,0.5175009326766143
47,38,13,0.34210526315789475,0.48984250088284426
48,15,9,0.6,0.5215027325430758
49,30,11,0.36666666666666664,0.47349758453792784
50,26,13,0.5,0.4917048674510931
51,37,22,0.5945945945945946,0.5175336519005672
52,19,14,0.7368421052631579,0.5224928584275228
53,35,9,0.2571428571428571,0.4853359266893103
54,24,11,0.4583333333333333,0.501939936714373
55,27,11,0.4074074074074074,0.4744267092011455
56,19,15,0.7894736842105263,0.5348277117074111
57,27,11,0.4074074074074074,0.5216001984798978
58,17,7,0.4117647058823529,0.4954816429495776
59,22,17,0.7727272727272727,0.5006080954444511
60,8,3,0.375,0.5174448301383286
61,29,12,0.41379310344827586,0.5110819401547491
62,9,1,0.1111111111111111,0.46875389782670673
63,20,10,0.5,0.4274005143680601
64,7,0,0.0,0.3691994561670019
65,16,4,0.25,0.34609021246952293
66,12,8,0.6666666666666666,0.3309386973180078
67,12,2,0.16666666666666666,0.30117679255610297
68,3,2,0.6666666666666666,0.3373015873015874
69,11,3,0.2727272727272727,0.3603896103896104
70,9,4,0.4444444444444444,0.35245310245310246
71,15,14,0.9333333333333333,0.4857864357864358
72,9,6,0.6666666666666666,0.5453102453102454
73,16,7,0.4375,0.5125721500721502
74,7,1,0.14285714285714285,0.5091707895279325
75,10,3,0.3,0.4567898371469801
76,6,3,0.5,0.4892573696145126
77,8,2,0.25,0.4614795918367348
78,4,2,0.5,0.39957482993197285
79,7,4,0.5714285714285714,0.3859693877551021
80,2,0,0.0,0.3234693877551021
81,6,0,0.0,0.303061224489796
82,5,2,0.4,0.3173469387755103
83,8,2,0.25,0.2816326530612246
84,7,2,0.2857142857142857,0.2867346938775511
85,5,2,0.4,0.2724489795918368
86,5,1,0.2,0.2193877551020409
87,3,1,0.3333333333333333,0.2670068027210885
88,2,2,1.0,0.40986394557823136
89,2,1,0.5,0.42414965986394565
90,1,0,0.0,0.38843537414965995
91,3,1,0.3333333333333333,0.39523809523809533
92,1,0,0.0,0.3380952380952382
93,3,0,0.0,0.30952380952380965
94,1,0,0.0,0.26190476190476203
95,3,2,0.6666666666666666,0.2142857142857144
96,3,1,0.3333333333333333,0.1904761904761906
97,4,3,0.75,0.2976190476190477
98,2,0,0.0,0.2500000000000001
99,4,3,0.75,0.35714285714285726
100,5,5,1.0,0.5000000000000001
101,3,2,0.6666666666666666,0.5952380952380955
102,1,0,0.0,0.5000000000000002
103,2,0,0.0,0.45238095238095255
104,1,0,0.0,0.3452380952380954
105,3,1,0.3333333333333333,0.39285714285714307
107,2,0,0.0,0.2857142857142859
108,1,0,0.0,0.14285714285714304
109,1,0,0.0,0.04761904761904782
110,3,0,0.0,0.04761904761904782
115,1,0,0.0,0.04761904761904782
117,1,0,0.0,0.04761904761904782
119,2,1,0.5,0.07142857142857162
124,1,1,1.0,0.21428571428571447
127,1,0,0.0,0.21428571428571447
128,1,0,0.0,0.21428571428571447
141,1,0,0.0,0.21428571428571447
