"time","s","e","a","p","sym","sev","r","d"
0.0,4500,500,0,0,0,0,0,0
0.5,4500,500,0,0,0,0,0,0
1.0,4500,413,46,41,0,0,0,0
1.5,4484,429,46,41,0,0,0,0
2.0,4474,347,78,78,8,0,15,0
2.5,4453,366,79,79,8,0,15,0
3.0,4404,326,110,100,22,4,34,0
3.5,4364,356,114,106,22,4,34,0
4.0,4301,333,123,136,35,6,66,0
4.5,4249,370,130,143,36,6,66,0
5.0,4171,373,140,154,53,11,97,1
5.5,4136,382,157,159,55,11,99,1
6.0,4070,367,166,172,79,12,130,4
6.5,4024,393,170,178,82,12,137,4
7.0,3952,380,175,182,95,25,184,7
7.5,3879,415,184,200,97,28,190,7
8.0,3789,423,185,200,107,41,246,9
8.5,3722,439,202,216,117,42,253,9
9.0,3618,477,189,203,129,55,316,13
9.5,3557,501,189,202,141,59,338,13
10.0,3478,499,197,204,156,58,384,24
10.5,3419,501,218,214,166,61,396,25
11.0,3314,524,235,207,169,74,440,37
11.5,3233,537,235,230,182,77,469,37
12.0,3137,553,234,224,197,85,523,47
12.5,3103,513,255,226,213,95,547,48
13.0,3037,477,261,238,213,104,606,64
13.5,2994,463,264,242,216,111,637,73
14.0,2921,460,265,233,220,115,695,91
14.5,2858,462,259,239,230,119,738,95
15.0,2771,458,261,249,221,129,797,114
15.5,2710,466,259,249,222,137,835,122
16.0,2630,458,257,252,223,131,908,141
16.5,2587,463,248,242,228,140,944,148
17.0,2512,444,251,253,225,139,1009,167
17.5,2463,443,253,252,227,142,1041,179
18.0,2380,448,241,253,225,150,1104,199
18.5,2325,445,252,244,238,141,1140,215
19.0,2267,438,245,220,243,138,1208,241
19.5,2241,413,231,234,234,146,1255,246
20.0,2193,388,232,223,238,154,1312,260
20.5,2165,374,220,227,235,153,1353,273
21.0,2128,352,200,220,222,162,1423,293
21.5,2091,341,201,220,226,161,1455,305
22.0,2040,337,179,219,219,158,1525,323
22.5,2011,321,178,211,234,158,1553,334
23.0,1964,307,187,199,227,154,1601,361
23.5,1935,305,176,191,224,163,1638,368
24.0,1897,288,166,190,224,158,1690,387
24.5,1882,268,164,177,221,168,1723,397
25.0,1852,244,161,174,213,169,1772,415
25.5,1826,240,159,161,206,181,1802,425
26.0,1789,228,154,150,218,176,1842,443
26.5,1770,209,155,152,205,168,1879,462
27.0,1735,200,156,144,193,166,1916,490
27.5,1711,201,157,138,180,172,1938,503
28.0,1684,182,147,131,166,172,1995,523
28.5,1665,176,141,127,160,169,2026,536
29.0,1638,175,140,118,150,168,2057,554
29.5,1621,177,127,118,136,163,2092,566
30.0,1599,153,117,118,134,155,2130,594
30.5,1591,146,118,112,125,145,2147,616
31.0,1562,142,118,104,121,131,2180,642
31.5,1553,129,111,103,120,127,2204,653
32.0,1533,134,95,92,108,125,2245,668
32.5,1526,127,95,76,120,110,2261,685
33.0,1510,118,90,72,118,101,2294,697
33.5,1498,110,92,69,114,102,2308,707
34.0,1486,98,88,62,106,104,2334,722
34.5,1483,93,81,61,103,97,2349,733
35.0,1472,83,75,61,96,90,2378,745
35.5,1463,87,67,51,92,88,2398,754
36.0,1448,89,64,45,88,88,2416,762
36.5,1439,91,61,43,81,87,2430,768
37.0,1423,86,60,42,77,82,2450,780
37.5,1416,80,60,45,75,75,2464,785
38.0,1406,76,59,42,62,76,2483,796
38.5,1400,72,60,45,55,73,2494,801
39.0,1392,67,53,43,54,71,2511,809
39.5,1388,65,46,41,50,59,2530,821
40.0,1381,59,39,43,53,47,2545,833
40.5,1379,53,38,43,51,47,2554,835
41.0,1373,49,39,42,46,43,2564,844
41.5,1368,47,39,39,43,45,2571,848
42.0,1360,45,39,37,45,41,2581,852
42.5,1353,46,40,35,48,37,2585,856
43.0,1348,42,28,36,46,35,2604,861
43.5,1343,41,29,36,38,38,2610,865
44.0,1340,33,30,34,35,37,2621,870
44.5,1338,29,27,34,35,36,2629,872
45.0,1336,27,28,31,32,36,2634,876
45.5,1335,26,23,31,32,35,2640,878
46.0,1332,22,21,27,35,30,2648,885
46.5,1331,20,17,25,36,30,2655,886
47.0,1328,20,15,22,33,28,2664,890
47.5,1327,17,15,20,33,27,2668,893
48.0,1324,15,14,15,33,29,2674,896
48.5,1321,16,14,15,28,27,2680,899
49.0,1317,16,12,13,25,29,2687,901
49.5,1315,17,10,12,25,31,2689,901
50.0,1311,19,10,10,22,30,2693,905
50.5,1306,21,10,8,24,29,2695,907
51.0,1303,23,7,8,19,31,2698,911
51.5,1302,21,8,7,18,33,2699,912
52.0,1300,18,9,8,17,27,2703,918
52.5,1299,17,9,9,16,24,2706,920
53.0,1296,19,7,8,15,21,2711,923
53.5,1296,17,7,8,15,17,2713,927
54.0,1294,14,6,10,13,15,2719,929
54.5,1293,13,8,10,10,16,2721,929
55.0,1292,12,9,9,11,12,2723,932
55.5,1289,13,9,11,10,10,2723,935
56.0,1289,9,11,11,9,10,2725,936
56.5,1289,8,10,8,10,11,2728,936
57.0,1289,7,5,8,9,7,2735,940
57.5,1289,5,5,9,8,5,2738,941
58.0,1288,6,5,8,9,4,2738,942
58.5,1288,6,2,6,10,5,2741,942
59.0,1287,6,2,4,10,6,2742,943
59.5,1287,5,2,4,11,4,2742,945
60.0,1285,7,1,4,11,4,2743,945
60.5,1285,6,2,4,10,3,2744,946
61.0,1285,6,2,4,10,3,2744,946
61.5,1285,6,2,4,9,4,2744,946
62.0,1285,3,4,4,8,6,2744,946
62.5,1284,4,4,4,7,6,2745,946
63.0,1284,1,7,4,6,5,2747,946
63.5,1284,1,7,3,5,5,2749,946
64.0,1283,2,5,2,5,6,2751,946
64.5,1282,3,5,2,4,7,2751,946
65.0,1282,3,4,1,3,8,2753,946
65.5,1282,3,4,1,3,8,2753,946
66.0,1282,3,2,1,3,6,2757,946
66.5,1282,3,2,0,4,4,2758,947
67.0,1282,3,1,0,3,3,2761,947
67.5,1282,1,0,2,2,2,2764,947
68.0,1282,1,0,2,1,1,2764,949
68.5,1282,1,0,2,1,1,2764,949
69.0,1282,1,0,2,1,1,2764,949
69.5,1282,1,0,1,2,1,2764,949
70.0,1282,1,0,1,2,1,2764,949
70.5,1282,1,0,0,3,1,2764,949
71.0,1281,1,1,0,3,1,2764,949
71.5,1281,1,1,0,3,1,2764,949
72.0,1281,1,1,0,3,1,2764,949
72.5,1281,1,1,0,2,1,2765,949
73.0,1281,0,1,1,2,0,2765,950
73.5,1281,0,1,1,0,0,2767,950
74.0,1281,0,0,1,0,0,2768,950
74.5,1281,0,0,1,0,0,2768,950
75.0,1281,0,0,1,0,0,2768,950
75.5,1281,0,0,1,0,0,2768,950
76.0,1281,0,0,1,0,0,2768,950
76.5,1281,0,0,1,0,0,2768,950
77.0,1281,0,0,1,0,0,2768,950
77.5,1281,0,0,1,0,0,2768,950
78.0,1281,0,0,0,1,0,2768,950
78.5,1281,0,0,0,1,0,2768,950
79.0,1281,0,0,0,0,1,2768,950
79.5,1281,0,0,0,0,1,2768,950
80.0,1281,0,0,0,0,1,2768,950
80.5,1281,0,0,0,0,1,2768,950
81.0,1281,0,0,0,0,1,2768,950
81.5,1281,0,0,0,0,1,2768,950
82.0,1281,0,0,0,0,1,2768,950
82.5,1281,0,0,0,0,1,2768,950
83.0,1281,0,0,0,0,1,2768,950
83.5,1281,0,0,0,0,1,2768,950
84.0,1281,0,0,0,0,1,2768,950
84.5,1281,0,0,0,0,1,2768,950
85.0,1281,0,0,0,0,1,2768,950
85.5,1281,0,0,0,0,1,2768,950
86.0,1281,0,0,0,0,1,2768,950
86.5,1281,0,0,0,0,1,2768,950
87.0,1281,0,0,0,0,0,2768,951
