"time","s","e","a","p","sym","sev","r","d"
0,9000,1000,0,0,0,0,0,0
1,8534,1231,103,132,0,0,0,0
2,8115,1381,231,224,28,0,21,0
3,7571,1566,351,347,82,3,80,0
4,6940,1810,454,456,141,16,183,0
5,6226,2038,589,593,220,22,308,4
6,5640,2105,715,681,325,49,477,8
7,5060,2091,837,806,411,95,684,16
8,4254,2290,919,874,523,145,963,32
9,3535,2371,1013,958,606,201,1261,55
10,2970,2288,1031,1032,732,250,1611,86
11,2477,2123,1099,1076,820,312,1961,132
12,2057,1953,1103,1068,934,372,2324,189
13,1744,1695,1064,1050,987,456,2748,256
14,1479,1402,1052,986,1048,537,3161,335
15,1187,1278,969,906,1056,598,3565,441
16,989,1067,893,842,1025,635,3974,575
17,814,884,798,756,987,649,4400,712
18,698,739,665,660,956,667,4782,833
19,590,622,559,560,888,656,5152,973
20,508,505,446,494,814,645,5478,1110
21,449,396,384,420,728,614,5771,1238
22,393,313,346,376,615,595,6004,1358
23,345,271,293,312,537,532,6221,1489
24,312,213,235,251,471,491,6418,1609
25,285,179,186,194,408,432,6583,1733
26,254,143,167,156,346,368,6730,1836
27,232,118,144,131,287,311,6844,1933
28,213,103,114,93,242,281,6955,1999
29,196,84,86,92,186,231,7058,2067
30,182,72,71,67,153,224,7118,2113
31,166,67,49,56,126,184,7186,2166
32,159,54,44,50,104,149,7225,2215
33,146,56,35,43,83,128,7261,2248
34,138,51,31,34,70,95,7294,2287
35,129,39,31,37,53,77,7321,2313
36,120,37,33,30,45,72,7337,2326
37,114,36,27,29,35,58,7360,2341
38,106,34,20,20,39,48,7377,2356
39,102,31,19,18,29,45,7390,2366
40,93,28,15,19,28,36,7406,2375
41,90,22,16,20,25,28,7416,2383
42,85,20,14,16,22,25,7426,2392
43,79,16,16,14,19,22,7436,2398
44,74,18,12,11,15,22,7447,2401
45,69,19,11,7,11,21,7456,2406
46,64,20,11,6,11,16,7464,2408
47,63,14,10,8,11,12,7470,2412
48,60,13,11,7,11,7,7474,2417
49,52,20,7,5,11,7,7480,2418
50,52,14,10,7,8,8,7482,2419
51,50,11,9,8,5,10,7487,2420
52,47,9,10,5,6,9,7493,2421
53,46,6,7,6,6,9,7497,2423
54,44,5,7,7,5,11,7498,2423
55,41,6,8,6,6,8,7499,2426
56,39,7,6,3,9,4,7501,2431
57,37,8,2,3,9,4,7505,2432
58,36,4,3,6,4,6,7508,2433
59,32,8,3,6,3,4,7509,2435
60,32,7,2,4,4,6,7510,2435
61,32,4,4,3,6,5,7510,2436
62,29,5,5,2,6,5,7511,2437
63,27,5,4,3,5,3,7515,2438
64,27,4,3,2,4,4,7518,2438
65,25,6,3,2,4,3,7519,2438
66,25,6,2,2,2,3,7521,2439
67,24,4,1,3,3,3,7523,2439
68,22,5,1,3,3,4,7523,2439
69,20,6,0,3,4,2,7524,2441
70,19,6,0,4,4,2,7524,2441
71,19,5,1,3,5,2,7524,2441
72,19,4,2,3,4,2,7524,2442
73,18,3,3,2,2,4,7525,2443
74,17,4,3,0,3,3,7525,2445
75,17,3,4,0,2,3,7525,2446
76,16,4,4,0,2,1,7525,2448
77,15,2,3,3,2,1,7526,2448
78,15,1,1,3,3,1,7528,2448
79,15,0,0,4,2,1,7529,2449
80,15,0,0,1,4,2,7529,2449
81,15,0,0,0,3,4,7529,2449
82,14,1,0,0,2,4,7529,2450
83,13,2,0,0,2,3,7530,2450
84,13,2,0,0,2,3,7530,2450
85,12,2,0,1,2,2,7531,2450
86,11,3,0,1,1,1,7533,2450
87,10,3,0,2,1,1,7533,2450
88,10,3,0,2,0,1,7533,2451
89,10,2,1,1,1,1,7533,2451
90,10,2,1,1,1,1,7533,2451
91,10,1,0,2,1,0,7534,2452
92,10,0,0,2,2,0,7534,2452
93,10,0,0,2,1,1,7534,2452
94,10,0,0,2,1,1,7534,2452
95,10,0,0,1,2,1,7534,2452
96,10,0,0,1,2,1,7534,2452
97,10,0,0,1,1,2,7534,2452
98,10,0,0,1,0,1,7535,2453
99,10,0,0,0,1,1,7535,2453
100,10,0,0,0,0,2,7535,2453
101,10,0,0,0,0,2,7535,2453
102,10,0,0,0,0,1,7535,2454
103,10,0,0,0,0,1,7535,2454
104,10,0,0,0,0,1,7535,2454
105,10,0,0,0,0,0,7535,2455
