"time","s","e","a","p","sym","sev","r","d"
0,9000,1000,0,0,0,0,0,0
1,8534,1231,103,132,0,0,0,0
2,8115,1381,231,224,28,0,21,0
3,7571,1566,351,347,82,3,80,0
4,6940,1810,454,456,141,16,183,0
5,6226,2038,589,593,220,22,308,4
6,5655,2090,713,684,322,45,483,8
7,5073,2085,829,807,417,91,683,15
8,4287,2272,893,883,537,133,960,35
9,3594,2333,969,972,618,190,1268,56
10,3023,2265,1012,1027,724,268,1603,78
11,2483,2150,1058,1090,801,324,1966,128
12,2053,1988,1023,1124,900,360,2360,192
13,1736,1728,1025,1091,969,454,2736,261
14,1452,1445,1004,1048,1014,519,3169,349
15,1218,1206,987,957,1067,539,3568,458
16,1000,1037,916,844,1104,591,3957,551
17,810,855,844,814,990,637,4361,689
18,682,701,733,721,948,641,4749,825
19,573,578,608,585,951,622,5114,969
20,489,460,529,500,845,639,5445,1093
21,440,364,416,420,761,604,5754,1241
22,378,318,351,356,637,592,6004,1364
23,322,272,276,291,561,560,6237,1481
24,284,238,232,222,458,541,6418,1607
25,251,184,186,196,372,460,6610,1741
26,227,151,151,167,308,395,6748,1853
27,214,115,120,123,269,335,6873,1951
28,199,79,113,105,235,282,6963,2024
29,183,69,98,87,188,246,7039,2090
30,174,52,80,71,158,209,7111,2145
31,159,55,49,62,121,199,7174,2181
32,147,45,41,56,113,158,7215,2225
33,137,39,35,44,104,130,7245,2266
34,126,34,35,40,75,114,7279,2297
35,121,25,35,33,60,97,7304,2325
36,114,26,25,28,53,68,7335,2351
37,110,24,20,22,44,58,7355,2367
38,103,26,17,21,34,51,7371,2377
39,96,25,17,18,28,48,7378,2390
40,89,23,17,14,26,40,7389,2402
41,80,24,18,12,23,28,7402,2413
42,73,23,15,14,20,20,7412,2423
43,70,18,17,10,17,18,7421,2429
44,64,12,17,15,15,17,7428,2432
45,61,12,14,9,20,17,7434,2433
46,54,17,10,5,21,14,7441,2438
47,48,20,10,5,16,11,7447,2443
48,45,19,9,5,11,12,7452,2447
49,41,18,8,5,7,13,7459,2449
50,39,17,8,3,7,9,7463,2454
51,37,13,8,5,6,8,7468,2455
52,36,12,6,6,5,9,7471,2455
53,34,8,10,6,6,6,7473,2457
54,33,4,8,6,6,7,7478,2458
55,32,2,10,7,5,5,7478,2461
56,30,4,6,5,5,4,7483,2463
57,28,4,3,5,5,4,7487,2464
58,26,5,3,4,7,4,7487,2464
59,22,9,1,4,4,4,7491,2465
60,19,9,2,5,3,5,7492,2465
61,19,8,2,3,4,5,7493,2466
62,19,6,4,2,5,5,7493,2466
63,19,4,2,2,6,3,7496,2468
64,18,3,2,2,3,5,7498,2469
65,18,1,2,2,4,2,7500,2471
66,17,1,2,1,4,3,7501,2471
67,15,3,2,1,3,3,7502,2471
68,15,3,2,0,4,2,7502,2472
69,14,4,0,0,2,3,7504,2473
70,14,2,1,1,2,1,7505,2474
71,13,3,1,0,2,2,7505,2474
72,13,3,1,0,0,2,7506,2475
73,13,2,1,1,0,1,7507,2475
74,13,1,1,2,0,0,7508,2475
75,11,3,1,1,1,0,7508,2475
76,10,3,0,2,1,0,7509,2475
77,9,3,1,2,1,0,7509,2475
78,8,3,1,3,1,0,7509,2475
79,8,2,1,3,2,0,7509,2475
80,8,2,0,3,2,0,7510,2475
81,8,2,0,2,2,1,7510,2475
82,8,1,0,2,2,2,7510,2475
83,8,0,0,3,2,2,7510,2475
84,8,0,0,2,2,1,7511,2476
85,8,0,0,1,3,1,7511,2476
86,8,0,0,0,3,2,7511,2476
87,8,0,0,0,2,3,7511,2476
88,7,1,0,0,2,3,7511,2476
89,6,2,0,0,2,2,7511,2477
90,6,1,0,1,2,1,7511,2478
91,6,1,0,1,1,2,7511,2478
92,6,0,1,1,0,2,7512,2478
93,6,0,1,0,1,2,7512,2478
94,6,0,0,0,1,2,7513,2478
95,6,0,0,0,1,1,7513,2479
96,6,0,0,0,1,0,7514,2479
97,6,0,0,0,1,0,7514,2479
98,6,0,0,0,1,0,7514,2479
99,6,0,0,0,1,0,7514,2479
100,6,0,0,0,0,1,7514,2479
101,6,0,0,0,0,1,7514,2479
102,6,0,0,0,0,1,7514,2479
103,6,0,0,0,0,1,7514,2479
104,6,0,0,0,0,1,7514,2479
105,6,0,0,0,0,1,7514,2479
106,6,0,0,0,0,1,7514,2479
107,6,0,0,0,0,1,7514,2479
108,6,0,0,0,0,0,7514,2480
