"time","s","e","a","p","sym","sev","r","d"
0,9000,1000,0,0,0,0,0,0
1,8534,1231,103,132,0,0,0,0
2,8115,1381,231,224,28,0,21,0
3,7571,1566,351,347,82,3,80,0
4,6940,1810,454,456,141,16,183,0
5,6226,2038,589,593,220,22,308,4
6,5640,2105,715,681,325,49,477,8
7,5054,2097,837,806,411,95,684,16
8,4240,2304,912,874,526,147,968,29
9,3520,2376,998,965,615,207,1269,50
10,2952,2305,1040,1027,719,277,1601,79
11,2442,2139,1144,1088,769,331,1942,145
12,2064,1928,1093,1100,864,380,2362,209
13,1746,1681,1054,1074,942,448,2777,278
14,1469,1401,1007,1038,1003,498,3226,358
15,1232,1184,953,962,1027,553,3636,453
16,1001,1044,852,868,995,619,4057,564
17,856,850,781,767,992,633,4436,685
18,716,710,721,658,961,638,4780,816
19,618,565,622,554,901,646,5141,953
20,542,447,512,468,828,649,5470,1084
21,475,363,424,406,737,601,5748,1246
22,411,295,356,342,635,584,6005,1372
23,365,241,270,280,574,519,6233,1518
24,328,201,228,227,470,512,6407,1627
25,297,179,172,185,379,447,6589,1752
26,278,140,132,165,300,398,6733,1854
27,245,129,113,134,257,345,6836,1941
28,221,115,86,109,218,298,6933,2020
29,206,95,78,88,181,256,6999,2097
30,197,69,67,73,153,214,7078,2149
31,180,73,54,50,125,184,7136,2198
32,165,65,44,47,103,150,7184,2242
33,154,53,38,44,87,113,7229,2282
34,141,51,33,38,70,90,7261,2316
35,129,44,31,38,53,72,7290,2343
36,123,42,28,30,46,57,7310,2364
37,116,37,23,30,43,49,7325,2377
38,114,30,23,25,36,40,7339,2393
39,109,23,24,21,31,33,7357,2402
40,105,19,21,19,30,31,7368,2407
41,101,17,18,16,28,31,7377,2412
42,92,19,13,12,28,21,7392,2423
43,90,16,9,10,25,14,7406,2430
44,88,11,7,10,24,11,7414,2435
45,86,11,4,9,18,17,7420,2435
46,80,12,5,10,15,16,7424,2438
47,78,9,8,8,15,15,7426,2441
48,75,11,8,4,13,12,7432,2445
49,73,10,9,4,10,12,7434,2448
50,68,13,9,3,8,11,7438,2450
51,59,20,8,2,7,11,7441,2452
52,56,19,8,2,6,8,7445,2456
53,56,15,9,3,4,6,7450,2457
54,54,11,11,4,5,4,7453,2458
55,52,9,13,4,5,5,7454,2458
56,49,7,11,5,3,4,7461,2460
57,46,8,9,3,5,3,7465,2461
58,45,2,10,5,5,4,7468,2461
59,39,8,9,2,7,3,7470,2462
60,36,8,8,4,6,4,7472,2462
61,36,8,5,4,3,5,7476,2463
62,36,7,2,3,4,3,7480,2465
63,35,6,1,2,4,1,7484,2467
64,33,6,1,3,4,1,7485,2467
65,31,6,1,5,4,1,7485,2467
66,29,4,4,4,5,0,7486,2468
67,28,4,5,4,4,1,7486,2468
68,24,8,4,2,4,1,7489,2468
69,21,9,3,2,5,0,7491,2469
70,20,9,2,3,2,3,7492,2469
71,20,7,3,4,2,2,7493,2469
72,20,4,5,3,4,2,7493,2469
73,20,1,5,3,3,1,7496,2471
74,20,1,2,3,2,2,7499,2471
75,19,2,0,2,3,1,7502,2471
76,19,0,2,1,4,1,7502,2471
77,18,1,0,0,4,1,7504,2472
78,18,0,0,1,2,2,7504,2473
79,18,0,0,0,1,3,7504,2474
80,16,2,0,0,1,3,7504,2474
81,15,3,0,0,1,1,7504,2476
82,14,4,0,0,0,2,7504,2476
83,13,2,0,3,0,0,7504,2478
84,13,1,0,1,3,0,7504,2478
85,13,1,0,0,2,2,7504,2478
86,12,2,0,0,2,2,7504,2478
87,12,2,0,0,0,3,7505,2478
88,10,3,0,1,0,1,7505,2480
89,10,3,0,1,0,1,7505,2480
90,10,3,0,1,0,1,7505,2480
91,10,2,1,1,0,0,7505,2481
92,10,1,1,2,0,0,7505,2481
93,10,1,1,1,1,0,7505,2481
94,10,1,1,1,1,0,7505,2481
95,10,1,0,1,1,0,7506,2481
96,10,0,0,1,2,0,7506,2481
97,10,0,0,0,3,0,7506,2481
98,10,0,0,0,2,1,7506,2481
99,10,0,0,0,1,2,7506,2481
100,10,0,0,0,0,2,7507,2481
101,10,0,0,0,0,1,7508,2481
102,10,0,0,0,0,1,7508,2481
103,10,0,0,0,0,1,7508,2481
104,10,0,0,0,0,1,7508,2481
105,10,0,0,0,0,1,7508,2481
106,10,0,0,0,0,0,7508,2482
