"time","s","e","a","p","sym","sev","r","d"
0,9000,1000,0,0,0,0,0,0
1,8534,1231,103,132,0,0,0,0
2,8115,1381,231,224,28,0,21,0
3,7571,1566,351,347,82,3,80,0
4,6940,1810,454,456,141,16,183,0
5,6226,2038,589,593,220,22,308,4
6,5640,2105,715,681,325,49,477,8
7,5051,2099,851,792,411,95,685,16
8,4217,2324,912,877,524,148,969,29
9,3489,2405,992,966,623,207,1265,53
10,2951,2292,1027,1041,717,257,1628,87
11,2446,2122,1124,1103,788,322,1957,138
12,2038,1948,1098,1090,889,389,2348,200
13,1735,1682,1063,1062,961,441,2775,281
14,1488,1378,1023,1034,1003,508,3201,365
15,1223,1218,969,934,1044,566,3588,458
16,1003,1049,896,861,983,658,3991,559
17,835,856,820,787,943,664,4390,705
18,717,718,678,660,919,669,4796,843
19,601,591,575,595,851,676,5142,969
20,530,467,490,510,786,644,5460,1113
21,464,384,406,422,702,616,5770,1236
22,387,325,338,367,634,575,6003,1371
23,354,241,290,312,549,550,6220,1484
24,317,212,234,262,463,498,6395,1619
25,289,172,183,226,402,452,6549,1727
26,258,149,150,184,329,393,6711,1826
27,227,131,126,140,284,360,6825,1907
28,211,110,107,112,236,309,6922,1993
29,195,88,91,98,195,262,7003,2068
30,187,74,68,75,166,208,7086,2136
31,173,71,53,69,136,177,7132,2189
32,153,67,49,59,131,133,7178,2230
33,142,50,48,56,101,123,7222,2258
34,134,46,32,43,84,104,7269,2288
35,121,43,32,38,67,100,7288,2311
36,111,39,32,38,55,79,7306,2340
37,110,31,25,35,42,69,7335,2353
38,96,36,24,25,42,57,7352,2368
39,93,25,24,23,38,46,7363,2388
40,88,23,19,22,29,41,7378,2400
41,80,23,16,20,26,34,7392,2409
42,75,22,16,15,29,25,7401,2417
43,67,24,15,14,30,16,7409,2425
44,63,22,13,14,23,18,7418,2429
45,58,21,10,15,20,17,7429,2430
46,56,15,10,12,26,17,7432,2432
47,54,14,8,10,20,15,7441,2438
48,52,12,6,13,13,16,7447,2441
49,49,6,11,9,12,19,7450,2444
50,45,7,8,7,12,14,7458,2449
51,44,7,7,6,11,10,7461,2454
52,42,9,4,4,12,6,7465,2458
53,42,6,5,4,11,5,7467,2460
54,38,10,4,3,9,7,7469,2460
55,38,5,5,2,8,6,7472,2464
56,33,8,4,4,4,6,7476,2465
57,32,4,4,7,4,5,7477,2467
58,31,5,4,5,4,7,7477,2467
59,29,6,4,5,4,5,7479,2468
60,28,4,4,7,4,2,7480,2471
61,26,6,4,4,7,2,7480,2471
62,24,7,4,4,5,3,7481,2472
63,24,5,3,3,5,3,7483,2474
64,22,3,2,5,6,2,7485,2475
65,22,2,3,2,8,2,7485,2476
66,19,4,3,3,6,4,7485,2476
67,17,5,4,3,4,4,7487,2476
68,17,4,3,1,5,3,7489,2478
69,16,3,3,1,3,4,7491,2479
70,15,4,2,1,1,5,7493,2479
71,14,4,3,1,1,3,7493,2481
72,12,5,3,0,2,2,7495,2481
73,12,5,3,0,1,1,7497,2481
74,12,2,4,2,0,0,7498,2482
75,12,2,3,2,0,0,7499,2482
76,10,3,2,1,2,0,7500,2482
77,10,1,0,3,0,1,7503,2482
78,8,3,0,3,0,1,7503,2482
79,8,2,1,2,1,1,7503,2482
80,8,2,0,2,1,1,7504,2482
81,8,1,0,3,0,2,7504,2482
82,7,2,0,1,2,2,7504,2482
83,6,3,0,1,1,1,7505,2483
84,5,4,0,0,2,1,7505,2483
85,5,3,1,0,1,2,7505,2483
86,4,3,1,1,1,2,7505,2483
87,4,3,1,0,1,2,7505,2484
88,4,3,1,0,1,2,7505,2484
89,4,2,2,0,0,0,7506,2486
90,4,1,2,0,0,0,7507,2486
91,4,0,2,1,0,0,7507,2486
92,4,0,2,1,0,0,7507,2486
93,4,0,2,1,0,0,7507,2486
94,4,0,1,1,0,0,7508,2486
95,4,0,1,1,0,0,7508,2486
96,4,0,0,1,0,0,7509,2486
97,4,0,0,0,1,0,7509,2486
98,4,0,0,0,0,0,7510,2486
