"time","s","e","a","p","sym","sev","r","d"
0,9000,1000,0,0,0,0,0,0
1,8534,1231,103,132,0,0,0,0
2,8115,1381,231,224,28,0,21,0
3,7571,1566,351,347,82,3,80,0
4,6940,1810,454,456,141,16,183,0
5,6226,2038,589,593,220,22,308,4
6,5640,2105,715,681,325,49,477,8
7,5051,2099,851,792,411,95,685,16
8,4217,2324,912,877,524,148,969,29
9,3489,2405,992,966,623,207,1265,53
10,2951,2292,1027,1041,717,257,1628,87
11,2446,2122,1124,1103,788,322,1957,138
12,2038,1948,1098,1090,889,389,2348,200
13,1723,1693,1063,1054,976,437,2769,285
14,1477,1386,1019,1020,1032,511,3188,367
15,1228,1204,963,927,1061,569,3579,469
16,1022,1022,899,837,1031,627,3980,582
17,843,837,794,778,993,653,4395,707
18,709,727,666,655,928,684,4801,830
19,580,609,552,597,862,666,5166,968
20,513,486,463,486,827,639,5490,1096
21,456,387,375,432,722,627,5781,1220
22,395,306,335,360,669,604,5990,1341
23,353,260,269,306,562,554,6212,1484
24,317,217,210,239,482,522,6408,1605
25,281,183,171,188,418,498,6551,1710
26,262,143,137,167,343,428,6694,1826
27,241,121,107,157,266,351,6823,1934
28,212,108,97,133,237,281,6909,2023
29,188,110,79,90,203,237,7004,2089
30,173,87,74,70,179,196,7065,2156
31,162,67,73,58,150,164,7116,2210
32,147,61,62,53,116,152,7163,2246
33,141,46,52,45,95,123,7223,2275
34,134,45,36,36,74,113,7260,2302
35,124,39,36,37,51,100,7286,2327
36,115,31,36,31,43,86,7310,2348
37,102,33,32,21,48,64,7333,2367
38,97,28,28,21,38,57,7350,2381
39,93,20,24,17,34,47,7375,2390
40,88,19,18,10,36,38,7390,2401
41,84,18,18,7,32,31,7399,2411
42,80,14,18,7,30,20,7411,2420
43,77,15,9,6,22,24,7422,2425
44,73,12,11,6,17,22,7429,2430
45,69,14,10,7,10,17,7436,2437
46,62,17,11,4,10,15,7440,2441
47,58,14,15,6,4,17,7445,2441
48,54,15,12,6,2,11,7455,2445
49,47,18,11,5,4,6,7461,2448
50,46,12,10,11,3,6,7463,2449
51,44,11,7,9,7,2,7470,2450
52,41,10,7,10,7,1,7472,2452
53,39,9,7,6,10,2,7475,2452
54,38,9,5,5,8,4,7478,2453
55,38,5,7,5,6,4,7481,2454
56,35,5,8,5,5,3,7485,2454
57,35,4,7,3,5,6,7486,2454
58,35,3,7,2,3,7,7488,2455
59,33,4,8,1,3,7,7489,2455
60,31,4,8,2,2,7,7490,2456
61,30,4,5,2,2,4,7496,2457
62,29,4,2,3,2,3,7500,2457
63,26,6,1,2,3,2,7502,2458
64,24,5,2,4,3,1,7502,2459
65,23,4,2,3,1,2,7505,2460
66,22,3,1,3,2,2,7507,2460
67,20,3,2,3,1,4,7507,2460
68,18,5,1,3,1,3,7508,2461
69,17,6,0,3,1,2,7509,2462
70,15,5,1,4,2,1,7510,2462
71,13,6,1,3,4,1,7510,2462
72,12,6,1,1,7,1,7510,2462
73,11,6,1,1,5,2,7512,2462
74,11,6,1,1,3,2,7513,2463
75,10,6,0,1,2,3,7514,2464
76,10,4,0,3,2,3,7514,2464
77,10,4,0,2,3,3,7514,2464
78,9,4,0,2,2,3,7515,2465
79,9,2,1,3,1,3,7515,2466
80,9,1,1,3,2,2,7515,2467
81,8,1,1,3,2,3,7515,2467
82,8,1,1,1,3,4,7515,2467
83,8,0,1,2,2,5,7515,2467
84,7,1,1,1,1,2,7516,2471
85,7,1,0,1,1,2,7517,2471
86,7,0,0,2,1,1,7517,2472
87,7,0,0,1,1,2,7517,2472
88,7,0,0,1,0,2,7517,2473
89,6,1,0,1,0,1,7517,2474
90,6,1,0,1,0,1,7517,2474
91,6,0,0,1,1,1,7517,2474
92,6,0,0,1,1,1,7517,2474
93,6,0,0,1,1,1,7517,2474
94,6,0,0,1,1,1,7517,2474
95,6,0,0,1,1,1,7517,2474
96,6,0,0,0,1,1,7517,2475
97,6,0,0,0,1,1,7517,2475
98,6,0,0,0,1,0,7517,2476
99,6,0,0,0,1,0,7517,2476
100,6,0,0,0,1,0,7517,2476
101,6,0,0,0,1,0,7517,2476
102,6,0,0,0,0,0,7518,2476
