"time","s","e","a","p","sym","sev","r","d"
0,9000,1000,0,0,0,0,0,0
1,8534,1231,103,132,0,0,0,0
2,8115,1381,231,224,28,0,21,0
3,7571,1566,351,347,82,3,80,0
4,6940,1810,454,456,141,16,183,0
5,6226,2038,589,593,220,22,308,4
6,5640,2105,715,681,325,49,477,8
7,5051,2099,851,792,411,95,685,16
8,4217,2324,912,877,524,148,969,29
9,3489,2405,992,966,623,207,1265,53
10,2951,2292,1027,1041,717,257,1628,87
11,2446,2122,1124,1103,788,322,1957,138
12,2046,1940,1094,1097,886,389,2348,200
13,1743,1673,1057,1069,965,450,2767,276
14,1484,1389,1004,1037,1010,520,3190,366
15,1217,1231,927,938,1062,563,3593,469
16,1008,1038,879,866,1020,629,3981,579
17,841,851,789,796,964,661,4386,712
18,723,716,666,666,933,669,4783,844
19,605,600,563,574,862,692,5144,960
20,521,479,474,498,811,662,5447,1108
21,467,385,398,399,722,664,5721,1244
22,397,321,350,345,620,632,5974,1361
23,345,279,295,269,544,545,6210,1513
24,314,206,248,230,480,469,6413,1640
25,286,165,200,199,395,437,6573,1745
26,259,137,168,158,339,392,6704,1843
27,234,123,136,130,282,337,6816,1942
28,217,100,99,106,241,275,6931,2031
29,195,82,76,92,199,238,7019,2099
30,182,62,72,84,161,191,7084,2164
31,164,62,53,62,136,169,7140,2214
32,153,56,47,51,102,150,7189,2252
33,144,48,40,47,75,135,7226,2285
34,134,42,39,39,64,98,7259,2325
35,124,40,31,33,58,75,7286,2353
36,113,37,29,32,53,57,7304,2375
37,107,32,26,27,45,50,7324,2389
38,105,26,29,23,38,41,7340,2398
39,99,22,27,22,32,33,7357,2408
40,94,21,18,18,28,34,7369,2418
41,87,21,19,15,24,28,7378,2428
42,84,19,16,11,20,33,7387,2430
43,77,20,14,13,20,23,7393,2440
44,73,19,12,11,23,19,7397,2446
45,73,15,9,14,16,16,7407,2450
46,66,15,13,10,12,16,7417,2451
47,62,15,9,7,10,13,7427,2457
48,55,20,10,7,6,13,7430,2459
49,53,19,11,6,6,12,7432,2461
50,49,16,9,6,8,11,7438,2463
51,49,9,10,9,9,6,7440,2468
52,49,6,9,8,11,7,7442,2468
53,47,6,4,6,8,8,7451,2470
54,47,3,6,4,8,9,7451,2472
55,45,3,4,5,5,8,7455,2475
56,43,4,4,5,4,6,7457,2477
57,41,5,4,5,5,5,7457,2478
58,41,5,3,4,4,3,7461,2479
59,41,2,4,3,6,1,7462,2481
60,38,5,4,3,5,2,7462,2481
61,36,7,2,3,4,1,7465,2482
62,33,7,2,4,4,1,7467,2482
63,31,6,2,5,4,1,7469,2482
64,28,7,4,4,5,0,7469,2483
65,26,8,5,4,4,1,7469,2483
66,25,6,6,5,3,3,7469,2483
67,25,5,5,3,4,3,7471,2484
68,25,3,4,5,2,5,7472,2484
69,25,1,4,4,4,5,7473,2484
70,24,2,2,2,5,5,7475,2485
71,23,3,1,2,2,6,7476,2487
72,23,2,0,2,2,4,7478,2489
73,23,2,0,2,2,4,7478,2489
74,22,2,1,2,1,4,7478,2490
75,22,2,1,1,2,3,7478,2491
76,20,4,1,0,1,2,7479,2493
77,18,6,0,0,1,1,7480,2494
78,16,6,2,0,0,1,7481,2494
79,15,5,4,0,0,0,7481,2495
80,15,3,4,1,0,0,7482,2495
81,14,4,4,1,0,0,7482,2495
82,12,4,3,1,0,0,7485,2495
83,11,5,1,1,0,0,7487,2495
84,10,5,1,1,1,0,7487,2495
85,10,4,2,1,1,0,7487,2495
86,10,2,2,2,1,0,7488,2495
87,10,1,2,3,1,0,7488,2495
88,10,0,3,2,2,0,7488,2495
89,10,0,2,2,2,0,7489,2495
90,10,0,1,1,3,0,7490,2495
91,10,0,0,1,3,0,7491,2495
92,10,0,0,0,3,1,7491,2495
93,10,0,0,0,0,2,7493,2495
94,10,0,0,0,0,2,7493,2495
95,10,0,0,0,0,1,7493,2496
96,10,0,0,0,0,0,7493,2497
