"time","s","e","a","p","sym","sev","r","d"
0,9000,1000,0,0,0,0,0,0
1,8534,1231,103,132,0,0,0,0
2,8115,1381,231,224,28,0,21,0
3,7571,1566,351,347,82,3,80,0
4,6940,1810,454,456,141,16,183,0
5,6226,2038,589,593,220,22,308,4
6,5640,2105,715,681,325,49,477,8
7,5051,2099,851,792,411,95,685,16
8,4217,2324,912,877,524,148,969,29
9,3489,2405,992,966,623,207,1265,53
10,2951,2292,1027,1041,717,257,1628,87
11,2446,2122,1124,1103,788,322,1957,138
12,2038,1948,1098,1090,889,389,2348,200
13,1735,1682,1063,1062,961,441,2775,281
14,1468,1397,1020,1026,1019,517,3192,361
15,1227,1204,985,930,1039,588,3574,453
16,1017,1032,915,833,1037,618,3972,576
17,831,848,833,752,1021,638,4371,706
18,708,718,701,637,960,672,4775,829
19,596,585,608,569,858,686,5130,968
20,539,463,511,478,786,635,5467,1121
21,453,400,407,418,682,616,5768,1256
22,396,314,346,357,635,583,5995,1374
23,357,256,278,280,557,548,6224,1500
24,326,192,225,251,466,504,6422,1614
25,305,147,185,212,383,452,6582,1734
26,275,130,149,169,320,410,6722,1825
27,243,124,118,124,286,351,6833,1921
28,212,115,104,102,227,323,6930,1987
29,197,99,82,73,194,288,7012,2055
30,183,84,79,67,158,228,7073,2128
31,169,67,68,59,125,197,7139,2176
32,162,49,58,51,103,154,7186,2237
33,146,48,49,41,90,123,7230,2273
34,133,49,38,43,70,106,7265,2296
35,119,56,32,34,61,90,7290,2318
36,115,39,31,35,52,73,7319,2336
37,114,33,25,26,42,63,7346,2351
38,107,25,24,26,34,46,7364,2374
39,99,22,24,25,38,32,7376,2384
40,94,23,13,10,38,30,7395,2397
41,89,20,13,11,29,33,7405,2400
42,85,17,11,15,24,28,7413,2407
43,78,19,10,8,22,23,7425,2415
44,76,16,8,9,16,24,7430,2421
45,71,15,9,10,11,26,7433,2425
46,66,16,11,9,8,25,7437,2428
47,59,22,8,6,8,21,7444,2432
48,54,20,8,10,6,15,7451,2436
49,50,14,11,6,11,9,7457,2442
50,45,14,13,8,10,11,7457,2442
51,41,14,9,4,15,9,7465,2443
52,39,14,8,3,14,7,7471,2444
53,39,10,8,6,13,5,7473,2446
54,38,11,4,4,14,5,7477,2447
55,35,9,5,5,11,9,7479,2447
56,31,11,4,6,8,9,7483,2448
57,29,9,5,5,6,7,7488,2451
58,28,8,5,4,5,8,7490,2452
59,27,8,4,4,3,8,7492,2454
60,27,5,4,6,1,7,7493,2457
61,26,6,2,4,2,6,7496,2458
62,23,7,2,4,3,5,7497,2459
63,21,8,2,5,3,3,7498,2460
64,20,9,1,3,5,1,7499,2462
65,20,5,4,3,6,1,7499,2462
66,18,7,4,3,4,2,7499,2463
67,18,1,6,4,6,0,7500,2465
68,18,0,1,4,6,1,7505,2465
69,17,1,1,3,4,3,7506,2465
70,17,1,1,3,2,4,7506,2466
71,14,4,1,2,3,4,7506,2466
72,11,6,2,1,3,5,7506,2466
73,10,5,2,0,4,4,7508,2467
74,10,4,2,1,3,4,7508,2468
75,10,3,3,1,2,5,7508,2468
76,10,0,4,2,2,0,7510,2472
77,9,1,3,1,2,1,7511,2472
78,9,0,3,2,2,0,7511,2473
79,8,1,1,2,2,0,7513,2473
80,8,1,1,1,2,1,7513,2473
81,7,1,1,2,2,1,7513,2473
82,7,1,1,1,3,0,7513,2474
83,6,2,1,0,2,2,7513,2474
84,6,2,0,0,2,2,7514,2474
85,6,2,0,0,1,1,7515,2475
86,6,2,0,0,0,2,7515,2475
87,6,1,1,0,0,1,7516,2475
88,6,1,0,0,0,1,7517,2475
89,6,1,0,0,0,1,7517,2475
90,6,1,0,0,0,1,7517,2475
91,6,0,1,0,0,0,7517,2476
92,6,0,1,0,0,0,7517,2476
93,6,0,0,0,0,0,7518,2476
