"time","newInfectors","newInfections","r","sevenDayAverageR"
0,500,824,1.648,1.648
2,27,42,1.5555555555555556,1.6017777777777777
3,33,54,1.6363636363636365,1.6133063973063972
4,30,44,1.4666666666666666,1.5766464646464646
5,47,65,1.3829787234042554,1.5379129163980227
6,55,59,1.0727272727272728,1.460381975786231
7,72,93,1.2916666666666667,1.4362797887691503
8,69,76,1.1014492753623188,1.35820111382091
9,83,105,1.2650602409638554,1.316701783164953
10,40,48,1.2,1.2543641208272904
11,62,53,0.8548387096774194,1.1669601269716838
12,42,34,0.8095238095238095,1.0850379964173344
13,63,47,0.746031746031746,1.038367206889402
14,71,88,1.2394366197183098,1.0309057716110652
15,112,112,1.0,1.0164130179878768
16,68,64,0.9411764705882353,0.9701439079342169
17,87,70,0.8045977011494253,0.9136578652412776
18,69,47,0.6811594202898551,0.8888465381859113
19,104,92,0.8846153846153846,0.8995739060561363
20,62,64,1.032258064516129,0.9404633801253339
21,103,64,0.6213592233009708,0.8521666092085711
22,75,54,0.72,0.8121666092085711
23,87,60,0.6896551724137931,0.7762349951836508
24,33,20,0.6060606060606061,0.7478725530281053
25,62,33,0.532258064516129,0.7266009307747158
26,42,32,0.7619047619047619,0.7090708418160554
27,53,37,0.6981132075471698,0.6613358622490612
28,66,38,0.5757575757575758,0.6548213411714334
29,84,59,0.7023809523809523,0.6523043343687124
30,55,32,0.5818181818181818,0.6368990499979107
31,74,39,0.527027027027027,0.6256085387073994
32,44,28,0.6363636363636364,0.6404807632570434
33,69,44,0.6376811594202898,0.6227345343306903
34,36,18,0.5,0.5944326475382374
35,50,21,0.42,0.5721815652871551
36,32,17,0.53125,0.5477342863755904
37,60,33,0.55,0.5431888318301359
38,29,16,0.5517241379310345,0.5467169905307083
39,45,24,0.5333333333333333,0.5319983758120936
40,29,14,0.4827586206896552,0.5098665845648601
41,42,19,0.4523809523809524,0.5030638634764247
42,26,14,0.5384615384615384,0.5199869403995017
43,56,44,0.7857142857142857,0.5563389812158281
44,31,19,0.6129032258064516,0.5653251563310356
45,42,23,0.5476190476190477,0.5647387148578946
46,26,20,0.7692307692307693,0.5984383485575283
47,38,16,0.42105263157894735,0.5896232072559986
48,27,8,0.2962962962962963,0.5673253992439048
49,38,15,0.39473684210526316,0.5467932997644368
50,27,10,0.37037037037037035,0.4874584547153061
51,28,19,0.6785714285714286,0.49683962653887426
52,19,6,0.3157894736842105,0.46372111597675464
53,20,6,0.3,0.3966881489437876
54,14,5,0.35714285714285715,0.3875581811672033
55,19,10,0.5263157894736842,0.420418108763973
56,16,5,0.3125,0.4086699884632211
57,27,12,0.4444444444444444,0.41925199904523175
58,22,3,0.13636363636363635,0.34179374301554716
59,22,6,0.2727272727272727,0.3356420000216988
60,11,6,0.5454545454545454,0.37070693508663394
61,20,8,0.4,0.37682938406622574
62,9,4,0.4444444444444444,0.3651334776334772
63,21,10,0.47619047619047616,0.3885178313749738
64,12,6,0.5,0.3964543393114817
65,9,6,0.6666666666666666,0.47221191506905746
66,7,2,0.2857142857142857,0.4740672026386307
67,15,6,0.4,0.45328798185940994
68,5,1,0.2,0.4247165532879814
69,7,1,0.14285714285714285,0.381632653061224
70,10,4,0.4,0.3707482993197274
71,8,3,0.375,0.35289115646258457
72,9,0,0.0,0.25765306122448933
73,5,1,0.2,0.2454081632653057
74,7,2,0.2857142857142857,0.22908163265306078
75,10,3,0.3,0.2433673469387751
76,2,2,1.0,0.36581632653061186
77,2,0,0.0,0.3086734693877547
78,2,1,0.5,0.32653061224489754
79,3,3,1.0,0.4693877551020404
80,4,4,1.0,0.5836734693877547
81,8,5,0.625,0.6321428571428568
82,1,0,0.0,0.5892857142857139
83,2,2,1.0,0.5892857142857139
84,3,1,0.3333333333333333,0.6369047619047615
85,8,1,0.125,0.5833333333333329
86,2,1,0.5,0.5119047619047615
87,5,1,0.2,0.3976190476190472
88,5,1,0.2,0.33690476190476154
89,3,1,0.3333333333333333,0.38452380952380916
90,3,1,0.3333333333333333,0.289285714285714
91,4,3,0.75,0.34880952380952346
92,3,1,0.3333333333333333,0.3785714285714282
93,4,2,0.5,0.3785714285714282
95,5,2,0.4,0.40714285714285675
96,3,1,0.3333333333333333,0.42619047619047584
97,2,3,1.5,0.5928571428571425
99,3,0,0.0,0.5452380952380949
100,2,1,0.5,0.5095238095238093
101,2,0,0.0,0.4619047619047616
102,1,1,1.0,0.533333333333333
103,2,0,0.0,0.47619047619047583
104,1,0,0.0,0.4285714285714282
106,1,0,0.0,0.2142857142857139
107,3,1,0.3333333333333333,0.26190476190476153
109,2,0,0.0,0.19047619047619008
110,1,0,0.0,0.19047619047619008
112,1,0,0.0,0.04761904761904723
119,1,0,0.0,0.04761904761904723
122,1,0,0.0,0.04761904761904723
123,1,0,0.0,0.04761904761904723
129,1,0,0.0,0.0
