"time","s","e","a","p","sym","sev","r","d"
0.0,4500,500,0,0,0,0,0,0
0.5,4500,500,0,0,0,0,0,0
1.0,4500,392,48,60,0,0,0,0
1.5,4476,416,48,60,0,0,0,0
2.0,4451,345,85,91,15,0,13,0
2.5,4422,370,86,94,15,0,13,0
3.0,4370,330,106,124,29,4,37,0
3.5,4326,364,108,131,29,4,38,0
4.0,4260,359,123,134,58,7,59,0
4.5,4212,387,133,142,60,7,59,0
5.0,4122,392,162,138,74,18,91,3
5.5,4093,400,171,144,76,18,95,3
6.0,4030,374,182,156,94,26,132,6
6.5,3991,388,190,162,101,27,135,6
7.0,3933,356,192,169,120,30,186,14
7.5,3866,391,205,177,124,32,191,14
8.0,3754,410,198,196,124,47,249,22
8.5,3689,445,199,204,132,46,261,24
9.0,3598,477,179,185,154,61,318,28
9.5,3538,483,186,201,160,67,337,28
10.0,3438,500,190,190,178,71,390,43
10.5,3376,511,204,200,187,76,403,43
11.0,3277,541,197,197,183,91,458,56
11.5,3229,535,194,209,193,96,487,57
12.0,3123,548,202,215,189,102,551,70
12.5,3076,531,222,227,199,103,567,75
13.0,3000,502,243,238,193,108,624,92
13.5,2959,476,269,237,208,116,641,94
14.0,2891,456,277,239,211,110,699,117
14.5,2836,456,273,238,224,107,740,126
15.0,2750,451,273,252,230,99,801,144
15.5,2683,479,257,259,225,109,843,145
16.0,2611,490,243,254,229,110,894,169
16.5,2560,488,243,259,233,120,923,174
17.0,2491,470,250,246,232,135,989,187
17.5,2445,459,254,248,241,132,1027,194
18.0,2377,434,253,250,229,144,1103,210
18.5,2338,425,258,237,232,150,1141,219
19.0,2283,411,244,235,229,156,1201,241
19.5,2256,387,239,222,256,156,1238,246
20.0,2206,374,233,212,257,162,1292,264
20.5,2185,348,230,207,255,168,1334,273
21.0,2147,326,217,202,269,159,1386,294
21.5,2110,323,215,202,248,170,1429,303
22.0,2068,302,202,202,250,159,1487,330
22.5,2037,293,198,202,247,161,1520,342
23.0,1995,283,199,190,235,146,1576,376
23.5,1976,263,189,191,230,151,1615,385
24.0,1934,246,182,178,236,156,1668,400
24.5,1912,239,181,163,237,154,1703,411
25.0,1876,232,166,155,221,153,1763,434
25.5,1852,231,156,147,217,150,1795,452
26.0,1822,222,140,143,216,144,1849,464
26.5,1803,217,129,135,208,138,1888,482
27.0,1770,208,129,124,197,145,1928,499
27.5,1751,197,131,125,186,143,1951,516
28.0,1718,192,125,122,170,149,1990,534
28.5,1702,181,123,126,156,150,2015,547
29.0,1680,175,126,111,151,146,2048,563
29.5,1662,175,122,105,144,139,2077,576
30.0,1632,169,116,102,145,132,2109,595
30.5,1608,171,118,96,139,133,2130,605
31.0,1598,149,119,91,126,122,2168,627
31.5,1586,143,111,86,123,124,2192,635
32.0,1570,134,108,82,113,117,2220,656
32.5,1561,130,99,80,111,112,2243,664
33.0,1545,115,101,89,96,109,2262,683
33.5,1535,104,103,90,95,105,2276,692
34.0,1516,106,90,88,87,98,2308,707
34.5,1509,103,84,89,78,91,2328,718
35.0,1498,96,71,85,82,86,2354,728
35.5,1490,88,69,83,86,81,2367,736
36.0,1480,74,66,79,83,75,2395,748
36.5,1476,65,68,75,81,74,2408,753
37.0,1462,65,64,74,73,69,2431,762
37.5,1455,65,57,70,75,66,2443,769
38.0,1445,66,51,63,79,58,2457,781
38.5,1439,66,46,59,78,56,2470,786
39.0,1429,66,32,55,70,62,2493,793
39.5,1424,64,33,51,66,63,2501,798
40.0,1418,60,37,39,72,57,2512,805
40.5,1414,57,31,41,64,58,2526,809
41.0,1406,51,35,42,53,50,2545,818
41.5,1400,51,36,38,55,44,2551,825
42.0,1397,42,33,33,59,43,2564,829
42.5,1396,38,32,31,58,38,2571,836
43.0,1383,41,31,27,50,42,2585,841
43.5,1380,39,32,25,48,39,2589,848
44.0,1374,42,29,24,43,37,2599,852
44.5,1371,45,27,21,36,41,2604,855
45.0,1366,35,29,26,37,39,2610,858
45.5,1363,34,30,25,37,31,2615,865
46.0,1358,33,32,19,42,28,2621,867
46.5,1355,33,28,18,42,25,2629,870
47.0,1352,30,22,19,34,24,2646,873
47.5,1352,28,21,19,31,22,2650,877
48.0,1350,24,20,18,28,24,2658,878
48.5,1347,22,20,21,26,24,2661,879
49.0,1343,24,14,21,22,20,2671,885
49.5,1342,24,14,18,21,21,2673,887
50.0,1342,15,14,20,17,24,2679,889
50.5,1341,14,12,21,17,20,2683,892
51.0,1336,18,10,17,18,15,2689,897
51.5,1336,14,9,16,19,15,2693,898
52.0,1333,15,8,13,21,12,2697,901
52.5,1329,18,7,9,24,10,2700,903
53.0,1325,19,6,8,25,11,2702,904
53.5,1322,21,4,8,22,14,2705,904
54.0,1321,17,4,10,18,14,2710,906
54.5,1320,16,6,9,18,11,2712,908
55.0,1319,14,8,8,19,10,2713,909
55.5,1316,16,9,8,19,9,2714,909
56.0,1316,13,9,10,16,10,2716,910
56.5,1316,9,10,11,14,12,2718,910
57.0,1315,8,10,9,13,8,2723,914
57.5,1315,6,10,9,15,7,2723,915
58.0,1313,8,6,8,15,3,2729,918
58.5,1313,6,7,9,13,4,2729,919
59.0,1312,5,6,9,12,7,2730,919
59.5,1311,6,3,9,11,7,2733,920
60.0,1311,5,4,8,6,11,2734,921
60.5,1310,6,4,8,6,10,2735,921
61.0,1310,5,4,6,7,9,2737,922
61.5,1310,5,3,5,5,12,2738,922
62.0,1310,5,1,4,4,11,2742,923
62.5,1310,3,1,4,5,10,2743,924
63.0,1310,2,1,4,6,8,2744,925
63.5,1310,2,1,4,5,9,2744,925
64.0,1310,1,1,4,5,8,2745,926
64.5,1310,0,1,4,6,6,2745,928
65.0,1309,1,1,4,6,6,2745,928
65.5,1309,1,1,3,7,5,2745,929
66.0,1309,0,2,3,6,4,2745,931
66.5,1308,1,1,3,5,4,2746,932
67.0,1307,2,1,2,5,4,2746,933
67.5,1307,2,1,2,4,4,2747,933
68.0,1307,2,1,1,5,3,2747,934
68.5,1307,2,1,1,3,4,2748,934
69.0,1307,1,1,2,2,5,2748,934
69.5,1305,3,1,2,2,4,2748,935
70.0,1305,3,0,2,1,4,2750,935
70.5,1305,3,0,1,2,3,2750,936
71.0,1305,3,0,1,1,3,2751,936
71.5,1305,3,0,1,1,2,2751,937
72.0,1305,3,0,1,1,2,2751,937
72.5,1305,3,0,1,1,2,2751,937
73.0,1305,3,0,1,1,0,2751,939
73.5,1305,2,0,2,1,0,2751,939
74.0,1305,2,0,2,1,0,2751,939
74.5,1305,1,0,3,0,1,2751,939
75.0,1304,2,0,3,0,1,2751,939
75.5,1304,2,0,3,0,1,2751,939
76.0,1304,2,0,3,0,1,2751,939
76.5,1304,1,1,1,2,1,2751,939
77.0,1304,1,1,0,3,1,2751,939
77.5,1304,1,1,0,2,1,2752,939
78.0,1303,2,1,0,2,1,2752,939
78.5,1303,2,0,0,1,2,2753,939
79.0,1303,2,0,0,0,3,2753,939
79.5,1303,2,0,0,0,2,2753,940
80.0,1303,1,1,0,0,2,2753,940
80.5,1303,1,1,0,0,2,2753,940
81.0,1303,0,1,1,0,1,2753,941
81.5,1303,0,1,1,0,1,2753,941
82.0,1303,0,1,1,0,1,2753,941
82.5,1302,1,1,1,0,0,2753,942
83.0,1301,2,1,1,0,0,2753,942
83.5,1301,1,2,1,0,0,2753,942
84.0,1301,1,2,0,1,0,2753,942
84.5,1301,1,2,0,1,0,2753,942
85.0,1300,2,1,0,1,0,2754,942
85.5,1300,2,1,0,1,0,2754,942
86.0,1300,1,1,1,1,0,2754,942
86.5,1300,1,1,1,1,0,2754,942
87.0,1300,1,1,1,1,0,2754,942
87.5,1300,1,1,1,1,0,2754,942
88.0,1300,1,1,0,1,1,2754,942
88.5,1300,1,0,0,1,1,2755,942
89.0,1300,1,0,0,1,0,2755,943
89.5,1300,1,0,0,1,0,2755,943
90.0,1300,1,0,0,1,0,2755,943
90.5,1300,1,0,0,1,0,2755,943
91.0,1300,1,0,0,1,0,2755,943
91.5,1300,1,0,0,1,0,2755,943
92.0,1300,0,1,0,1,0,2755,943
92.5,1300,0,1,0,1,0,2755,943
93.0,1300,0,1,0,1,0,2755,943
93.5,1300,0,1,0,1,0,2755,943
94.0,1300,0,1,0,1,0,2755,943
94.5,1300,0,1,0,1,0,2755,943
95.0,1300,0,1,0,1,0,2755,943
95.5,1300,0,1,0,1,0,2755,943
96.0,1300,0,0,0,0,0,2757,943
