"time","newInfectors","newInfections","r","sevenDayAverageR"
0,500,787,1.574,1.574
2,20,32,1.6,1.5870000000000002
3,44,79,1.7954545454545454,1.6564848484848487
4,44,64,1.4545454545454546,1.6060000000000003
5,59,67,1.1355932203389831,1.5119186440677967
6,39,62,1.5897435897435896,1.5248894683470955
7,61,86,1.4098360655737705,1.5084532679509064
8,40,45,1.125,1.4443104108080491
9,91,151,1.6593406593406594,1.4527876478567148
10,39,42,1.0769230769230769,1.3501402952093622
11,59,48,0.8135593220338984,1.258570847707711
12,41,35,0.8536585365853658,1.2182944643143372
13,71,64,0.9014084507042254,1.1199608730229997
14,75,78,1.04,1.067127149369604
15,108,95,0.8796296296296297,1.032074239316694
16,76,79,1.0394736842105263,0.9435218142981033
17,107,102,0.9532710280373832,0.9258572358858614
18,62,66,1.064516129032258,0.9617082083141985
19,90,72,0.8,0.9540427030877175
20,92,79,0.8586956521739131,0.9479408747262444
21,94,71,0.7553191489361702,0.9072721817171259
22,75,54,0.72,0.884467948912893
23,90,51,0.5666666666666667,0.8169240892637701
24,43,20,0.46511627906976744,0.7471876965541108
25,76,59,0.7763157894736842,0.7060162194743145
26,38,16,0.42105263157894735,0.6518808811284498
27,63,34,0.5396825396825397,0.6063075793439678
28,76,52,0.6842105263157895,0.5961492046839135
29,97,66,0.6804123711340206,0.5904938291316307
30,51,35,0.6862745098039216,0.6075806638655245
31,76,50,0.6578947368421053,0.6351204435472869
32,48,34,0.7083333333333334,0.6254086640986654
33,55,40,0.7272727272727273,0.6691543920549198
34,41,31,0.7560975609756098,0.7000708236682155
35,69,35,0.5072463768115942,0.6747902308819018
36,39,12,0.3076923076923077,0.6215445075330857
37,64,37,0.578125,0.6060945775610967
38,30,8,0.26666666666666666,0.5502048532503199
39,46,14,0.30434782608695654,0.4924926379294088
40,30,14,0.4666666666666667,0.4552632006999716
41,40,19,0.475,0.4151064062748845
42,36,20,0.5555555555555556,0.4220077175240218
43,48,22,0.4583333333333333,0.44352786404416833
44,30,20,0.6666666666666666,0.45617667356797786
45,43,21,0.4883720930232558,0.48784887733320487
46,29,17,0.5862068965517241,0.5281144588281717
47,37,27,0.7297297297297297,0.5656948964086091
48,22,13,0.5909090909090909,0.5822533379670507
49,33,13,0.3939393939393939,0.5591653148790277
50,25,13,0.52,0.5679748386885514
51,26,14,0.5384615384615384,0.5496598203735331
52,22,14,0.6363636363636364,0.5708014694221589
53,26,10,0.38461538461538464,0.5420026820026819
54,9,0,0.0,0.4377555777555776
55,30,12,0.4,0.4104828504828503
56,17,11,0.6470588235294118,0.44664276899571
57,26,13,0.5,0.44378562613856715
58,16,6,0.375,0.42043397778691877
59,23,17,0.7391304347826086,0.4351149489896291
60,9,2,0.2222222222222222,0.41191592579060593
61,15,7,0.4666666666666667,0.4785825924572726
62,16,6,0.375,0.475011163885844
63,18,4,0.2222222222222222,0.41432022084195985
64,8,4,0.5,0.41432022084195985
65,23,9,0.391304347826087,0.4166494133885437
66,8,3,0.375,0.36463077984817105
67,23,8,0.34782608695652173,0.3825741890959281
68,10,1,0.1,0.3301932367149757
69,11,4,0.36363636363636365,0.3285698600915991
70,8,2,0.25,0.33253811405985306
71,9,4,0.4444444444444444,0.32460160612334515
72,11,6,0.5454545454545454,0.34662306292741063
73,10,2,0.2,0.32162306292741066
74,9,4,0.4444444444444444,0.33542568542568535
75,7,4,0.5714285714285714,0.4027726242011955
76,5,3,0.6,0.43653885796742925
77,3,3,1.0,0.5436817151102863
78,2,0,0.0,0.4801896516182228
79,14,8,0.5714285714285714,0.4839002267573694
80,3,2,0.6666666666666666,0.550566893424036
81,6,2,0.3333333333333333,0.53469387755102
82,4,1,0.25,0.4887755102040813
83,5,2,0.4,0.4602040816326527
84,3,0,0.0,0.31734693877550985
85,3,0,0.0,0.31734693877550985
86,4,2,0.5,0.30714285714285683
87,10,3,0.3,0.2547619047619044
88,2,1,0.5,0.27857142857142825
89,3,0,0.0,0.24285714285714252
90,3,2,0.6666666666666666,0.2809523809523807
91,2,0,0.0,0.2809523809523807
92,3,0,0.0,0.2809523809523807
93,2,0,0.0,0.20952380952380922
95,1,0,0.0,0.16666666666666635
96,2,2,1.0,0.23809523809523775
97,1,0,0.0,0.23809523809523775
98,1,1,1.0,0.2857142857142854
99,1,0,0.0,0.2857142857142854
100,2,3,1.5,0.49999999999999967
101,4,2,0.5,0.5714285714285711
102,2,1,0.5,0.6428571428571426
103,1,2,2.0,0.7857142857142855
104,1,0,0.0,0.7857142857142855
105,1,0,0.0,0.6428571428571426
106,2,0,0.0,0.6428571428571426
107,2,3,1.5,0.6428571428571426
108,1,0,0.0,0.5714285714285712
109,2,0,0.0,0.4999999999999997
110,1,0,0.0,0.21428571428571402
111,1,0,0.0,0.21428571428571402
115,1,0,0.0,0.21428571428571402
119,1,0,0.0,0.21428571428571402
120,1,0,0.0,0.0
121,2,1,0.5,0.07142857142857117
123,1,0,0.0,0.07142857142857117
132,1,1,1.0,0.21428571428571402
144,1,1,1.0,0.3571428571428569
158,1,0,0.0,0.3571428571428569
