"time","s","e","a","p","sym","sev","r","d"
0.0,4500,500,0,0,0,0,0,0
0.5,4500,500,0,0,0,0,0,0
1.0,4500,394,58,48,0,0,0,0
1.5,4480,414,58,48,0,0,0,0
2.0,4446,347,97,94,5,0,11,0
2.5,4413,379,98,94,5,0,11,0
3.0,4365,340,106,116,28,1,44,0
3.5,4319,372,116,120,28,1,44,0
4.0,4254,357,144,124,55,2,64,0
4.5,4211,380,152,132,55,2,68,0
5.0,4133,365,162,153,68,12,107,0
5.5,4093,379,173,160,72,12,111,0
6.0,4018,371,182,165,93,22,149,0
6.5,3981,376,186,183,94,23,157,0
7.0,3905,373,182,177,123,34,205,1
7.5,3835,409,192,185,130,34,214,1
8.0,3743,420,194,179,145,42,269,8
8.5,3689,432,198,191,151,45,286,8
9.0,3577,468,189,185,152,63,348,18
9.5,3515,483,199,201,157,64,363,18
10.0,3428,488,205,210,157,70,417,25
10.5,3368,491,210,223,172,74,437,25
11.0,3269,509,197,240,162,76,506,41
11.5,3212,517,210,236,181,78,523,43
12.0,3112,536,213,229,192,92,574,52
12.5,3069,523,222,225,200,101,607,53
13.0,3015,480,243,220,192,122,661,67
13.5,2980,465,245,222,203,126,691,68
14.0,2898,444,256,231,201,128,751,91
14.5,2832,461,261,229,205,139,779,94
15.0,2734,478,268,219,210,144,836,111
15.5,2680,479,263,223,216,149,872,118
16.0,2600,475,256,225,219,145,939,141
16.5,2551,465,245,247,213,148,983,148
17.0,2484,443,241,248,216,143,1060,165
17.5,2431,451,239,252,210,154,1094,169
18.0,2370,430,223,254,222,135,1177,189
18.5,2330,408,237,250,225,134,1214,202
19.0,2267,408,239,235,230,135,1263,223
19.5,2230,390,244,235,233,145,1292,231
20.0,2173,375,239,231,234,145,1358,245
20.5,2139,365,236,211,247,151,1394,257
21.0,2090,340,232,205,242,161,1455,275
21.5,2047,345,229,207,232,168,1484,288
22.0,1994,339,218,203,226,162,1548,310
22.5,1964,329,210,186,237,155,1591,328
23.0,1920,322,194,172,228,159,1658,347
23.5,1882,320,183,173,222,161,1700,359
24.0,1850,299,175,177,210,155,1752,382
24.5,1822,284,179,173,214,141,1787,400
25.0,1784,271,172,164,206,140,1845,418
25.5,1767,257,167,162,202,140,1877,428
26.0,1742,241,161,144,207,138,1922,445
26.5,1721,229,163,147,193,138,1951,458
27.0,1699,205,161,156,175,135,1990,479
27.5,1683,195,156,150,169,132,2018,497
28.0,1653,187,147,142,163,129,2066,513
28.5,1631,186,138,136,164,123,2102,520
29.0,1612,177,131,117,160,119,2146,538
29.5,1601,152,128,118,152,115,2181,553
30.0,1584,141,120,115,141,112,2219,568
30.5,1567,140,120,100,143,111,2240,579
31.0,1555,123,114,98,138,104,2269,599
31.5,1545,123,106,99,127,101,2291,608
32.0,1527,120,102,83,131,92,2315,630
32.5,1516,110,98,79,132,91,2334,640
33.0,1503,102,96,82,122,87,2356,652
33.5,1497,99,87,74,118,87,2380,658
34.0,1483,99,86,60,114,90,2404,664
34.5,1475,97,76,58,111,89,2424,670
35.0,1463,90,67,58,102,84,2453,683
35.5,1447,94,67,53,96,84,2466,693
36.0,1436,90,59,50,86,75,2500,704
36.5,1435,80,57,46,79,75,2516,712
37.0,1425,80,48,41,71,74,2540,721
37.5,1421,76,47,35,73,67,2551,730
38.0,1415,73,42,33,68,65,2569,735
38.5,1410,70,43,30,65,55,2581,746
39.0,1403,63,43,26,64,51,2595,755
39.5,1398,57,43,31,58,51,2605,757
40.0,1395,50,37,32,54,44,2621,767
40.5,1391,48,30,33,49,39,2640,770
41.0,1388,41,27,35,46,35,2650,778
41.5,1386,37,25,34,42,31,2661,784
42.0,1381,33,25,34,34,36,2671,786
42.5,1379,29,30,29,34,38,2674,787
43.0,1375,23,30,32,33,35,2682,790
43.5,1372,22,26,31,30,31,2695,793
44.0,1365,24,26,24,35,31,2700,795
44.5,1360,27,21,24,34,33,2706,795
45.0,1358,26,23,20,32,33,2708,800
45.5,1357,26,20,19,29,32,2714,803
46.0,1355,25,14,16,26,30,2725,809
46.5,1352,25,15,17,23,29,2728,811
47.0,1352,21,18,16,16,28,2733,816
47.5,1351,19,17,15,18,23,2735,822
48.0,1350,16,14,14,21,20,2741,824
48.5,1350,12,17,15,18,19,2744,825
49.0,1349,10,15,11,19,19,2751,826
49.5,1349,8,14,8,20,21,2754,826
50.0,1347,9,11,8,17,19,2759,830
50.5,1346,8,11,6,18,18,2761,832
51.0,1345,8,10,7,15,17,2764,834
51.5,1343,10,8,5,14,19,2766,835
52.0,1341,10,7,5,12,17,2770,838
52.5,1341,9,6,5,10,16,2774,839
53.0,1338,11,5,6,8,16,2777,839
53.5,1338,9,7,6,7,13,2778,842
54.0,1336,8,7,8,7,13,2779,842
54.5,1335,9,4,7,7,14,2782,842
55.0,1334,9,3,6,6,8,2786,848
55.5,1333,10,2,6,5,7,2789,848
56.0,1333,10,2,5,5,7,2789,849
56.5,1332,9,3,6,3,9,2789,849
57.0,1332,7,4,6,4,6,2789,852
57.5,1331,7,5,6,4,5,2789,853
58.0,1331,6,3,6,4,5,2792,853
58.5,1331,5,3,6,4,3,2794,854
59.0,1330,6,3,5,5,2,2794,855
59.5,1330,6,3,4,6,1,2794,856
60.0,1330,5,3,4,6,1,2795,856
60.5,1330,5,2,3,6,1,2796,857
61.0,1329,3,1,4,8,1,2797,857
61.5,1329,2,1,5,8,1,2797,857
62.0,1329,1,1,6,5,4,2797,857
62.5,1329,1,1,6,4,4,2797,858
63.0,1329,1,1,6,4,3,2797,859
63.5,1329,1,0,6,4,2,2798,860
64.0,1329,0,1,3,6,2,2798,861
64.5,1329,0,1,3,5,3,2798,861
65.0,1329,0,1,3,3,2,2800,862
65.5,1329,0,1,3,3,2,2800,862
66.0,1329,0,1,3,2,2,2801,862
66.5,1329,0,1,3,2,2,2801,862
67.0,1328,1,0,3,1,2,2803,862
67.5,1328,1,0,2,2,2,2803,862
68.0,1328,1,0,1,2,1,2804,863
68.5,1328,1,0,1,2,1,2804,863
69.0,1328,0,0,1,3,1,2804,863
69.5,1328,0,0,1,3,0,2805,863
70.0,1328,0,0,0,4,0,2805,863
70.5,1328,0,0,0,3,0,2806,863
71.0,1328,0,0,0,1,1,2807,863
71.5,1328,0,0,0,1,1,2807,863
72.0,1328,0,0,0,1,1,2807,863
72.5,1328,0,0,0,1,1,2807,863
73.0,1328,0,0,0,1,1,2807,863
73.5,1328,0,0,0,1,1,2807,863
74.0,1328,0,0,0,1,1,2807,863
74.5,1328,0,0,0,1,1,2807,863
75.0,1328,0,0,0,0,1,2808,863
75.5,1328,0,0,0,0,1,2808,863
76.0,1328,0,0,0,0,1,2808,863
76.5,1328,0,0,0,0,1,2808,863
77.0,1328,0,0,0,0,1,2808,863
77.5,1328,0,0,0,0,1,2808,863
78.0,1328,0,0,0,0,0,2808,864
