"time","newInfectors","newInfections","r","sevenDayAverageR"
0,500,794,1.588,1.588
2,20,31,1.55,1.569
3,34,57,1.6764705882352942,1.6048235294117648
4,33,47,1.4242424242424243,1.5596782531194298
5,48,76,1.5833333333333333,1.5644092691622105
6,46,75,1.6304347826086956,1.5754135214032914
7,65,88,1.353846153846154,1.5437610403237003
8,43,49,1.1395348837209303,1.4796945951409763
9,78,97,1.2435897435897436,1.4359217013680825
10,40,37,0.925,1.328568760191612
11,75,61,0.8133333333333334,1.241296032918885
12,37,27,0.7297297297297297,1.119352660975513
13,76,50,0.6578947368421053,0.9804183687231429
14,70,86,1.2285714285714286,0.962521979398182
15,92,111,1.2065217391304348,0.9720915301709683
16,54,59,1.0925925925925926,0.9505205085999467
17,112,111,0.9910714285714286,0.9599592841101509
18,62,58,0.9354838709677419,0.9774093609150664
19,87,72,0.8275862068965517,0.9913888576531837
20,60,33,0.55,0.9759753238185972
21,99,83,0.8383838383838383,0.9202342395060843
22,57,47,0.8245614035087719,0.8656684772744183
23,100,81,0.81,0.825298106904048
24,43,37,0.8604651162790697,0.8066400622908538
25,54,50,0.9259259259259259,0.8052746415705944
26,35,20,0.5714285714285714,0.7686806936465971
27,82,38,0.4634146341463415,0.7563113556675031
28,66,47,0.7121212121212122,0.7382738376299851
29,98,50,0.5102040816326531,0.6933656487905395
30,54,42,0.7777777777777778,0.6887624741873649
31,80,58,0.725,0.6694103147189264
32,49,27,0.5510204081632653,0.615852383609975
33,67,38,0.5671641791044776,0.615243184706533
34,53,31,0.5849056603773585,0.6325990455966782
35,61,29,0.47540983606557374,0.5987831347315871
36,40,32,0.8,0.640182551641208
37,63,40,0.6349206349206349,0.6197743883759018
38,37,17,0.4594594594594595,0.581840025441539
39,57,29,0.5087719298245614,0.5758045285360099
40,34,10,0.29411764705882354,0.5367978811009164
41,49,24,0.4897959183673469,0.5232107750994862
42,43,20,0.46511627906976744,0.5217402669572283
43,53,32,0.6037735849056604,0.49370792194375124
44,30,20,0.6666666666666666,0.4982430693360415
45,44,18,0.4090909090909091,0.4910475621405343
46,38,25,0.6578947368421053,0.5123508202858977
47,32,17,0.53125,0.5462268707060659
48,28,7,0.25,0.511970310939302
49,38,17,0.4473684210526316,0.5094349026511397
50,17,7,0.4117647058823529,0.48200506279066724
51,25,9,0.36,0.43819553898114344
52,21,10,0.47619047619047616,0.44778119142393874
53,22,8,0.36363636363636365,0.40574428096597565
54,16,12,0.75,0.43699428096597565
55,30,9,0.3,0.44413713810883276
56,22,8,0.36363636363636365,0.43217541562079453
57,19,12,0.631578947368421,0.4635774501188043
58,11,2,0.18181818181818182,0.43812290466425885
59,17,10,0.5882352941176471,0.4541293072252833
60,17,3,0.17647058823529413,0.4273913393108447
61,12,3,0.25,0.35596276788227327
62,10,3,0.3,0.35596276788227327
63,18,6,0.3333333333333333,0.351633763553269
64,11,4,0.36363636363636365,0.31335625159154645
65,13,5,0.38461538461538464,0.34232728056257544
66,6,1,0.16666666666666666,0.28210319092672104
67,14,4,0.2857142857142857,0.29770943342371986
68,8,3,0.375,0.3155665762808627
69,12,5,0.4166666666666667,0.3322332429475294
70,16,6,0.375,0.3381856238999103
71,11,7,0.6363636363636364,0.3771466628609493
72,1,1,1.0,0.46505875077303716
73,10,2,0.2,0.46982065553494196
74,4,0,0.0,0.4290043290043298
75,6,0,0.0,0.3754329004329012
76,5,0,0.0,0.3159090909090917
77,7,2,0.2857142857142857,0.3031539888682753
78,5,2,0.4,0.26938775510204155
79,3,2,0.6666666666666666,0.22176870748299393
80,4,0,0.0,0.19319727891156538
81,3,2,0.6666666666666666,0.28843537414966064
82,2,0,0.0,0.28843537414966064
83,5,2,0.4,0.34557823129251775
84,2,0,0.0,0.3047619047619055
85,4,0,0.0,0.24761904761904838
86,3,2,0.6666666666666666,0.24761904761904838
87,7,2,0.2857142857142857,0.28843537414966064
88,5,3,0.6,0.27891156462585115
89,2,1,0.5,0.35034013605442255
90,1,0,0.0,0.29319727891156544
91,2,3,1.5,0.5074829931972797
92,3,0,0.0,0.5074829931972797
94,1,1,1.0,0.5551020408163273
95,1,0,0.0,0.514285714285715
97,1,1,1.0,0.5714285714285722
99,2,0,0.0,0.5000000000000008
100,1,0,0.0,0.5000000000000008
101,1,1,1.0,0.4285714285714293
102,2,0,0.0,0.4285714285714293
103,2,1,0.5,0.35714285714285793
105,3,0,0.0,0.35714285714285793
107,2,0,0.0,0.21428571428571505
108,1,1,1.0,0.35714285714285793
109,1,1,1.0,0.5000000000000008
110,1,0,0.0,0.35714285714285793
112,1,0,0.0,0.35714285714285793
114,1,0,0.0,0.2857142857142865
117,1,0,0.0,0.2857142857142865
121,1,0,0.0,0.2857142857142865
133,1,0,0.0,0.14285714285714363
